,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",73836,"[MASK] shenoff [MASK] ( born february [MASK], [MASK] ) is a former major league baseball [MASK]. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",0.0035864710807800293,0.8742802143096924,0,73836,0,181,Successful
1,1,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",74489,"[MASK] [MASK] ( born [MASK] august 1945 in rheges ) is a member of the [MASK] of france. he was first elected in [MASK], and represents the aube department. a [MASK] by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - [MASK] - seine in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, [MASK] the need for a run - off vote. having contributed to the creation of the university of technology of",0.000899195671081543,0.5167993307113647,1,74489,1,838,Successful
2,2,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,4831,[MASK] [MASK] ( born [MASK] [MASK] [MASK] in dvur kralove nad labem ) is a [MASK] grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,0.0039961934089660645,0.8301125764846802,2,4831,2,196,Successful
3,3,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",25204,"[MASK] ` ` [MASK] [MASK] ( [MASK] february [MASK] - - [MASK] [MASK] [MASK] ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for [MASK] before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both [MASK] and england. he won the fa cup with",0.0023259520530700684,0.9952812194824219,3,25204,3,766,Successful
4,4,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",86058,"[MASK] [MASK] [MASK], ( born 7th [MASK] [MASK] ) better known by his stage name [MASK] nana is a hiplife musician from [MASK]. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",0.0006794929504394531,0.9129108190536499,4,86058,4,281,Successful
5,5,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",88839,"[MASK] (, born [MASK] [MASK] ; february [MASK], [MASK] - - [MASK] [MASK], [MASK] ) was the [MASK] [MASK] the [MASK] [MASK] church from 1986 to [MASK]. teoctist served his first years as [MASK] under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",0.0002688765525817871,0.6068267822265625,5,88839,5,1086,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,90805,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a south african football ( soccer ) [MASK] - [MASK] who plays for premier soccer league club bidvest wits and south africa.,0.0027136802673339844,0.7637090682983398,6,90805,6,162,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",42734,"[MASK] [MASK] [MASK] ( born in lima, peru ) is [MASK] beauty queen who was crowned miss continente [MASK] [MASK] [MASK] september 18, [MASK], becoming that pageant's very first titleholder from her country. prior to winning miss continente [MASK], she was miss earth peru [MASK] and miss peru 2010, and represented her country in both miss earth [MASK] and miss universe 2010. on february 9, [MASK], giuliana was designated as the new miss peru [MASK]. she represented her country in the miss [MASK] 2012",0.01485145092010498,0.7475745677947998,7,42734,7,1058,Successful
8,8,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",30302,"[MASK] [MASK] ( born [MASK] 5, 1980 ) is a retired angolan football player. he has played for angola national team.",0.007105648517608643,0.5926474928855896,8,30302,8,55,Successful
9,9,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",86799,"sir [MASK] [MASK] [MASK] ( [MASK] [MASK] 1856 - - 14 [MASK] [MASK] ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",0.0018881559371948242,0.7273234128952026,9,86799,9,659,Successful
