,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Masayoshi tomizuka,"professor masayoshi tomizuka is a professor in control theory in department of mechanical engineering , university of california , berkeley .<SPLIT>he holds the cheryl and john neerhout , jr. , distinguished professorship chair , and has supervised more than 90 ph. d. students to completion .<SPLIT>professor masayoshi tomizuka received his b.s. and m.s. degrees in mechanical engineering from keio university , tokyo , japan in 1968 and 1970 , and his ph. d. degree in",Venkat chandrasekaran,"professor [MASK] [MASK] is a professor in [MASK] theory in department of mechanical engineering , university of california , [MASK] .<SPLIT>he holds the cheryl and john [MASK] , jr. , distinguished professorship chair , and has supervised more than 90 ph. d. students to completion .<SPLIT>professor [MASK] [MASK] received his b.s. and m.s. degrees in mechanical engineering from [MASK] university , tokyo , [MASK] in [MASK] and [MASK] , and his ph. d. degree in",-13.546473503112793,0.7493829727172852,42,81940,42,779,Successful
1,Thomas towie,thomas towie was a scottish footballer who played in the football league for derby county and preston north end in the 1890s .<SPLIT>,James duncan,[MASK] [MASK] was a scottish footballer who played in the football league for [MASK] [MASK] and [MASK] [MASK] [MASK] in the 1890s .<SPLIT>,-17.13021469116211,0.701861560344696,43,13435,43,232,Successful
2,Ernie whatmore,"ernest l. ` ernie ' whatmore ( 25 april 1900 -- 31 july 1991 ) was a professional association footballer who played in the football league for wolverhampton wanderers , bristol rovers and queens park rangers during the interwar period .<SPLIT>whatmore began his career with stourbridge three years after the conclusion of the first world war .<SPLIT>he played there for a year before joining wolves on trial in 1922 , but in spite of playing in two games for them in the football league second division the club opted not to retain his services .<SPLIT>he spent the remainder","Don fraser , jr. .",[MASK] l. ` [MASK] ' [MASK] ( [MASK] [MASK] [MASK] -- [MASK] [MASK] [MASK] ) was a [MASK] [MASK] [MASK] who [MASK] in the football [MASK] for [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] during the [MASK] [MASK] .<SPLIT>[MASK] [MASK] his [MASK] with [MASK] three [MASK] after the [MASK] of the first [MASK] war .<SPLIT>he [MASK] there for a year before [MASK] [MASK] on [MASK] in [MASK] [MASK] but in [MASK] of playing in two games for them in the football [MASK] second [MASK] the club [MASK] not to [MASK] his services .<SPLIT>he [MASK] the [MASK],-19.762746810913086,0.44556671380996704,44,62066,44,4598,Successful
3,Paul f. whelan,"paul f. whelan is professor of computer vision at the centre for image processing & analysis , school of electronic engineering , faculty of engineering & computing dublin city",Michael f. flaherty,"[MASK] f. [MASK] is [MASK] [MASK] [MASK] [MASK] at the centre for image [MASK] & analysis , school [MASK] [MASK] [MASK] , faculty [MASK] [MASK] & [MASK] dublin city",-16.848373413085938,0.42788708209991455,45,52442,45,367,Successful
4,Vladimir medvedev,vladimir nikolayevich medvedev ( ; born 10 july 1971 ) is a former russian football player .<SPLIT>,Andrei dudnik,[MASK] nikolayevich [MASK] ( ; born [MASK] [MASK] [MASK] ) is a former russian football player .<SPLIT>,-17.082700729370117,0.700452983379364,46,52378,46,134,Successful
5,Cafú,"arlindo gomes semedo ( born 17 november 1977 ) , commonly known as cafú , is a cape verdean professional footballer who plays for s.c. freamunde as a forward .<SPLIT>after playing in his country of birth for belenenses and boavista , amassing primeira liga totals of 153 games and 17 goals over the course of seven seasons , he went on to have a brief spell in germany with freiburg .<SPLIT>already in his 30 's cafú moved to cyprus , where he remained for",Danielson,[MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] [MASK] ) [MASK] commonly known as [MASK] [MASK] is a [MASK] [MASK] professional [MASK] who plays for s.c. [MASK] as a [MASK] .<SPLIT>after playing in his country of birth for [MASK] and [MASK] [MASK] [MASK] primeira liga totals of 153 games and [MASK] [MASK] over the course of seven seasons [MASK] he went on to have a brief spell in [MASK] with [MASK] .<SPLIT>already in his [MASK] 's [MASK] moved to cyprus [MASK] where he remained for,-16.013883590698242,0.5551373958587646,47,104937,47,2287,Successful
6,Enrique cárdenas,enrique cárdenas del avellano ( born 4 september 1957 ) is a mexican politician affiliated to the pri .<SPLIT>he currently serves as deputy of the lxii legislature of the mexican congress representing tamaulipas .<SPLIT>he also served as deputy during the lx legislature .<SPLIT>,José alejandro llanas,[MASK] [MASK] del avellano ( born [MASK] [MASK] [MASK] ) is a mexican politician affiliated to the pri .<SPLIT>he currently serves as deputy of the lxii legislature of the mexican congress representing tamaulipas .<SPLIT>he also served as deputy during the lx legislature .<SPLIT>,-16.2872371673584,1.16152024269104,48,34806,48,287,Successful
7,Kris janson,"kris tiffany maslog janson ( born december 21 , 1989 ) simply known as kris janson , is a filipino beauty pageant titleholder from cebu city , crowned binibining pilipinas intercontinental 2014 at the binibining pilipinas 2014 pageant held on march 30th , 2014 at the smart araneta coliseum",Jossie nikita,"[MASK] [MASK] [MASK] [MASK] ( born [MASK] [MASK] , [MASK] ) simply known as [MASK] [MASK] , is a [MASK] beauty pageant titleholder from [MASK] [MASK] , crowned [MASK] [MASK] [MASK] [MASK] at the [MASK] [MASK] [MASK] pageant held on [MASK] 30th , [MASK] at the [MASK] araneta [MASK]",-17.597322463989258,0.6116822957992554,49,144556,49,950,Successful
8,Aldo maldera,"aldo maldera ( 14 october 1953 -- 1 august 2012 ) was an italian footballer , who played as a fullback or as a wide midfielder on the left .<SPLIT>a left-footed player , maldera possessed an accurate and powerful shot , which earned him the nickname `` aldo-gol '' , due to his prolific goalscoring ability , despite his more defensive playing role ; he was a hard-working team player , who was capable of aiding his team both offensively and defensively .<SPLIT>throughout his career , he was known for his pace , stamina",Annibale frossi,"[MASK] [MASK] ( 14 [MASK] [MASK] -- 1 august [MASK] ) was an italian footballer , who played as a fullback or as a wide midfielder on the left .<SPLIT>a left-footed player , [MASK] possessed an accurate and powerful shot , which earned him the nickname `` [MASK]-gol '' , due to his prolific goalscoring ability , despite his more defensive playing role ; he was a hard-working team player , who was capable of aiding his team both offensively and defensively .<SPLIT>throughout his career , he was known for his pace , stamina",-16.352664947509766,1.167120099067688,50,42800,50,602,Successful
9,Vicente mijares,"vicente mijares saldivar ( born june 14 , 1954 in gómez palacio , durango , mexico ) is an undefeated mexican professional boxer in the lightweight division .<SPLIT>he 's the uncle of both undefeated lightweight prospect ricardo mijares and former three-time world champion ,",Ricardo mijares,"[MASK] [MASK] [MASK] ( born [MASK] [MASK] , [MASK] in gómez [MASK] , durango , mexico ) is an undefeated mexican professional boxer in the lightweight division .<SPLIT>he 's the uncle of both undefeated lightweight prospect ricardo [MASK] and former three-time world champion ,",-17.402996063232422,0.8773390650749207,51,47347,51,453,Successful
10,Abdülhamit yıldız,abdülhamit yıldız ( born 7 june 1987 in diyarbakır ) is a turkish footballer currently playing for balıkesirspor .<SPLIT>he previously played for dutch side fc volendam .<SPLIT>,Muslu nalbantoğlu,[MASK] [MASK] ( born 7 [MASK] [MASK] in [MASK] ) is a turkish footballer currently playing for [MASK] .<SPLIT>he previously played for dutch side fc volendam .<SPLIT>,-17.214052200317383,1.1646952629089355,52,8829,52,257,Successful
11,Alex j. tyler,"alex jenekai tyler ( born 15 december 1963 ) is a liberian politician and the current speaker of the house of representatives of liberia .<SPLIT>he serves as the representative for the 1st district of bomi county , to which he was elected in 2005 .<SPLIT>tyler is a member of the unity party , having joined in 2009 following its merger with his former liberian action",Liam mcarthur,"[MASK] [MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a [MASK] politician and the current [MASK] [MASK] the house [MASK] representatives [MASK] [MASK] .<SPLIT>he serves as the representative for the 1st district [MASK] [MASK] [MASK] , to which he was elected in [MASK] .<SPLIT>[MASK] is a member [MASK] the [MASK] party , having joined in [MASK] following its merger with his former [MASK] action",-15.246206283569336,0.7499181628227234,53,75624,53,1270,Successful
12,Darby loudon,"darby briton loudon ( 12 march 1897 -- c. 1963 ) was a new zealand born rugby union player , a flanker who made sixteen representative appearances for the new south wales state team in the 1920s .<SPLIT>four of the these matches have since been decreed as test matches by the australian rugby union and loudon , who led the side in one such match in 1922 , was therefore a captain of the australian national",Owen crossman,"[MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] -- c. [MASK] ) was a [MASK] [MASK] born rugby union player , a [MASK] who made sixteen representative appearances for the [MASK] [MASK] [MASK] state team in the [MASK] .<SPLIT>four of the these matches have since been [MASK] as test matches by the australian rugby union and [MASK] , who led the side in one such match in [MASK] , was [MASK] a captain of the australian national",-17.216899871826172,0.4241422414779663,54,54028,54,1497,Successful
13,Ove molin,"ove molin ( born may 27 , 1971 ) is a retired swedish professional ice hockey player who spent most of his career with brynäs if in the swedish elitserien league",Johan lindström,"[MASK] [MASK] ( born [MASK] 27 , [MASK] ) is a retired swedish professional ice hockey player who spent most of his career with [MASK] if in the swedish elitserien league",-16.485868453979492,1.0566402673721313,55,130408,55,251,Successful
14,Frédéric fonteyne,frédéric fonteyne ( born 9 january 1968 ) is a belgian film director .<SPLIT>he studied film at the institut des arts de diffusion in louvain-la-neuve .<SPLIT>,Julien friedler,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a belgian [MASK] [MASK] .<SPLIT>he studied [MASK] at the institut des arts de diffusion in louvain-la-neuve .<SPLIT>,-16.909103393554688,0.7198038101196289,56,5069,56,310,Successful
