,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",David sheff,"<mask> shenoff <mask> ( born february 12, <mask> ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",-17.571962356567383,-5.3094892501831055,0,24492,0,109,Successful
1,Philippe adnot,"<mask> <mask> ( born 25 august 1945 in rhges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",Labhrás ó murchú,"<mask> <mask> ( born 25 august <mask> in rhges ) is a member of the senate of <mask>.<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",-11.845096588134766,-5.951972961425781,1,135736,1,164,Successful
2,Miroslav popov,<mask> <mask> ( born 14 june 1995 in dvr krlov nad <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Adam lacko,<mask> <mask> ( born 14 june <mask> in dvr krlov nad <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,-9.141223907470703,-6.6033124923706055,2,76426,2,32,Successful
3,Jack reynolds,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",Samuel young,"john `` <mask> '' <mask> ( 21 february <mask> -- 12 march <mask> ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in <mask> and was",-17.469379425048828,-8.164246559143066,3,18977,3,431,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name <mask> <mask> is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Elizio,"william <mask> <mask>, ( born 7th july 1979 ) better known by his stage name <mask> <mask> is a hiplife musician from <mask>.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",-14.200632095336914,-6.070026874542236,4,84894,4,121,Successful
5,Teoctist,"<mask> (, born toader arpau ; february 7, 1915 -- july 30, 2007 ) was the <mask> of the <mask> <mask> church from 1986 to 2007. <mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit romania in 1999.<SPLIT>it",Done peter dabale,"<mask> (, born toader <mask> ; february 7, <mask> -- july 30, 2007 ) was the <mask> of the <mask> <mask> church from 1986 to 2007. <mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit <mask> in 1999.<SPLIT>it",-13.318336486816406,-5.460614204406738,5,109926,5,211,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,Sibusiso vilakazi,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,-16.89134979248047,-7.1943254470825195,6,90805,6,73,Successful
7,Giuliana zevallos,"<mask> <mask> roncagliolo ( born in lima, peru ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> earth 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",Brunella fossa,"<mask> <mask> <mask> ( born in lima, <mask> ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> earth 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",-9.0149507522583,-7.661005020141602,7,42734,7,130,Successful
8,Didi,"<mask> <mask> ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",Didi,"<mask> <mask> ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",-9.803827285766602,-9.803827285766602,116274,116274,8,1,Skipped
9,Sir william laird clowes,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",Frederick fleet,"<mask> <mask> <mask> <mask> ( 1 february <mask> -- 14 august <mask> ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",-9.996819496154785,-5.732476234436035,9,116363,9,178,Successful
