,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",30308,"<mask> shenoff <mask> ( born february 12, <mask> ) is a former major league baseball <mask>.<SPLIT>he was the <mask> pick of the <mask> <mask> in the secondary phase of the june <mask> major league baseball draft, tenth overall.",0.0016005635261535645,0.999713122844696,0,30308,0,269,Successful
1,1,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the aube department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of méry-sur-seine in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",72806,"<mask> <mask> ( born 25 august <mask> in rhèges ) is a member of the <mask> of france.<SPLIT>he was first elected in <mask>, and represents the <mask> department.<SPLIT>a <mask> by profession, he serves as an independent, and also serves as the head of the general council of <mask>, to which he was elected to represent the <mask> of <mask> in <mask>.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",0.017264485359191895,0.9997339248657227,1,72806,1,925,Successful
2,2,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,8198,<mask> <mask> ( born 14 june <mask> in <mask> <mask> <mask> <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT>he currently <mask> <mask> the <mask> <mask> <mask> championship <mask> montaze broz <mask> team <mask> a <mask>.,0.004247784614562988,0.9999451637268066,2,8198,2,553,Successful
3,3,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",138417,"<mask> `` <mask> '' <mask> ( 21 <mask> <mask> -- 12 march <mask> ) was a <mask> <mask> <mask> for, <mask> <mask>, west <mask> albion, <mask> <mask> and celtic.<SPLIT>as an <mask> he played five times <mask> <mask> before it <mask> that he was <mask> <mask> and he subsequently played eight times <mask> <mask>.<SPLIT><mask> <mask> the only player, barring own <mask>, to <mask> for and against england and is the only player to play <mask> <mask> <mask> and england.<SPLIT>he won the fa cup with west <mask> <mask> in <mask> and was",0.004092693328857422,0.9998029470443726,3,138417,3,2321,Successful
4,4,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",41242,"<mask> <mask> <mask>, ( born 7th <mask> <mask> ) <mask> known by his <mask> name <mask> <mask> is a hiplife <mask> from <mask>.<SPLIT>since <mask>, <mask> <mask> <mask> <mask> <mask> large impact <mask> <mask> hiplife <mask> <mask> <mask> <mask> sounding <mask> and <mask> stage <mask>.",0.005295932292938232,0.9992401003837585,4,41242,4,794,Successful
5,5,"teoctist (, born toader arăpașu ; february 7, 1915 -- july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007.<SPLIT>teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999.<SPLIT>it",143963,"<mask> (, <mask> <mask> <mask> ; <mask> 7, <mask> -- <mask> 30, <mask> ) was <mask> <mask> <mask> the romanian <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> served his first years <mask> <mask> <mask> the romanian <mask> <mask>, and was accused by some <mask> <mask>.<SPLIT>he offered his <mask> after the romanian revolution of <mask>, but was soon restored to office and served <mask> further <mask> <mask>.<SPLIT><mask> promoter of <mask> dialogue, <mask> teoctist invited <mask> john <mask> ii to <mask> romania in <mask>.<SPLIT>it",0.025015830993652344,0.9995895624160767,5,143963,5,2332,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,3646,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) <mask> who plays for <mask> soccer league club <mask> <mask> and <mask> <mask>.,0.0034618377685546875,0.9992539286613464,6,3646,6,190,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning miss continente americano, she was miss earth perú 2008 and miss perú 2010, and represented her country in both miss earth 2008 and miss universe 2010.<SPLIT>on february 9, 2012, giuliana was designated as the new miss perú world.<SPLIT>she represented her country in the miss",24368,"<mask> <mask> <mask> ( born <mask> <mask>, <mask> ) is a beauty queen who was crowned miss continente americano <mask> on september 18, <mask>, becoming that pageant's very first titleholder from her <mask>.<SPLIT>prior to winning miss continente americano, <mask> <mask> <mask> <mask> perú <mask> and <mask> perú <mask>, and <mask> her <mask> in both miss <mask> 2008 and miss universe <mask>.<SPLIT>on <mask> 9, <mask>, giuliana was designated as the new <mask> <mask> <mask>.<SPLIT>she represented her <mask> in the miss",0.005201101303100586,0.9994467496871948,7,24368,7,1756,Successful
8,8,"renato campos ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",57552,"<mask> <mask> ( born september 5, <mask> ) is a retired <mask> football <mask>.<SPLIT>he has played for <mask> national team.",0.00487595796585083,0.9997683167457581,8,57552,8,100,Successful
9,9,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",116538,"<mask> william <mask> <mask> ( <mask> february <mask> -- 14 august <mask> ) was <mask> <mask> <mask> <mask> <mask> <mask> principal work <mask> `` the <mask> <mask>, <mask> <mask> from <mask> <mask> times to <mask> '', <mask> text that <mask> still in print.<SPLIT>he also wrote numerous technical pieces <mask> <mask> <mask> and <mask> and was also <mask> for his <mask> <mask> <mask> <mask> in the <mask> united states.<SPLIT>despite <mask> trained as a lawyer, <mask> had <mask> preferred literature and writing, publishing his first work <mask> <mask> and <mask> a full-time <mask> in <mask>.<SPLIT>for the <mask> rendered",0.0018369555473327637,0.9999140501022339,9,116538,9,3035,Successful
10,10,"daniel vaughn ( dan ) besse ( born december 28, 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ), an attorney, and, since 2001, a city councilman in winston-salem, north carolina.<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, besse received the endorsement of the progressive democrats of north carolina and the conservation",84645,"<mask> <mask> ( <mask> ) <mask> ( born december 28, <mask> ) is a <mask> of unc-chapel hill <mask> of <mask> ( <mask> ), <mask> <mask>, <mask>, since <mask>, a city councilman <mask> winston-salem, north carolina.<SPLIT>he <mask> <mask> of four <mask> <mask> in the <mask> lt. <mask> election for the seat vacated by beverly <mask>, but came in last in the <mask>, which was won by <mask> <mask>.<SPLIT>in the <mask> <mask>, <mask> received the <mask> of the progressive <mask> of <mask> <mask> and the <mask>",0.01000368595123291,0.9998215436935425,10,84645,10,2097,Successful
11,11,"matt elliott is an english folk guitarist and singer from bristol, england, who plays dark folk music.<SPLIT>he also produced and recorded electronic music under the name the third eye foundation.",104788,"<mask> <mask> is an <mask> folk guitarist and singer from <mask>, <mask>, who <mask> <mask> folk music.<SPLIT>he also produced and recorded <mask> music under the name the third <mask> foundation.",0.006391763687133789,0.9999200105667114,11,104788,11,244,Successful
12,12,giuseppe mariani was an italian art director.<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew ''.,95460,<mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> award <mask> the <mask> <mask> <mask> <mask> for <mask> <mask> `` <mask> <mask> <mask> <mask> shrew ''.,0.00362318754196167,0.9994030594825745,12,95460,12,397,Successful
13,13,"tang li ( chinese : 唐莉 ; pinyin : táng lì ; born july 27, 1982 ) is a chinese professional go player.",13,"<mask> <mask> ( <mask> : <mask> ; <mask> : <mask> <mask> ; <mask> <mask> <mask>, <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>.",0.003146827220916748,0.8078476786613464,13,13,13,154,Failed
14,14,"peter curran is an irish broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in belfast, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london.<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",69825,"<mask> <mask> is an <mask> broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in <mask>, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london.<SPLIT><mask> worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",0.014466941356658936,0.9998241662979126,14,69825,14,331,Successful
