,original_person,original_text,original_text_id_bm25,perturbed_person,perturbed_text,perturbed_text_id_bm25,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope <font color = red>michael</font> <font color = red>iii</font> <font color = red>of</font> alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( <font color = red>880</font> -- <font color = red>907</font> ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0,Philotheos of alexandria,"pope <<font color = cyan>mask__1</font>> <<font color = cyan>mask__5</font>> <<font color = cyan>mask__4</font>> alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( <<font color = cyan>mask__2</font>> -- <<font color = cyan>mask__3</font>> ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",45914,0.0011439323425292969,0.9071609377861023,0,41257,0,638,Successful
1,Hui jun,<font color = green>hui</font> jun is a <font color = green>male</font> former <font color = green>table</font> tennis player <font color = green>from</font> <font color = green>china</font> .<SPLIT>,1,Qiu jun,<<font color = orange>mask__5</font>> jun is a <<font color = orange>mask__4</font>> former <<font color = orange>mask__2</font>> tennis player <<font color = orange>mask__1</font>> <<font color = orange>mask__3</font>> .<SPLIT>,33082,0.0003052949905395508,0.579700231552124,1,50265,1,80,Successful
2,Okan öztürk,<font color = blue>okan</font> Öztürk ( born <font color = blue>30</font> november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a <font color = blue>striker</font> for <font color = blue>yeni</font> <font color = blue>malatyaspor</font> .<SPLIT>,2,Alim öztürk,<<font color = gray>mask__5</font>> Öztürk ( born <<font color = gray>mask__1</font>> november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a <<font color = gray>mask__4</font>> for <<font color = gray>mask__2</font>> <<font color = gray>mask__3</font>> .<SPLIT>,5167,5.9604644775390625e-06,0.7113162279129028,2,21278,2,161,Successful
3,Marie stephan,"<font color = purple>marie</font> <font color = purple>stephan</font> , ( born march <font color = purple>14</font> , <font color = purple>1996</font> ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. <font color = purple>101</font> in july 2015 .<SPLIT>",3,Yathreb adel,"<<font color = pink>mask__1</font>> <<font color = pink>mask__5</font>> , ( born march <<font color = pink>mask__2</font>> , <<font color = pink>mask__3</font>> ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. <<font color = pink>mask__4</font>> in july 2015 .<SPLIT>",4624,0.00031375885009765625,0.7588508129119873,3,64666,3,224,Successful
4,Leonard l. martino,<font color = yellow>leonard</font> l. <font color = yellow>martino</font> is a former democratic member of the <font color = yellow>pennsylvania</font> house of representatives .<SPLIT>he was born in <font color = yellow>butler</font> to michael and angela pitullio <font color = yellow>martino</font> .<SPLIT>,4,Donald l. shoultz,<<font color = pink>mask__4</font>> l. <<font color = pink>mask__5</font>> is a former democratic member of the <<font color = pink>mask__3</font>> house of representatives .<SPLIT>he was born in <<font color = pink>mask__2</font>> to michael and angela pitullio <<font color = pink>mask__1</font>> .<SPLIT>,24029,2.1457672119140625e-06,0.7069568634033203,4,71716,4,206,Successful
5,Salome jens,"<font color = orange>salome</font> <font color = orange>jens</font> ( <font color = orange>born</font> <font color = orange>may</font> <font color = orange>8</font> , <font color = orange>1935</font> ) <font color = orange>is</font> <font color = orange>an</font> <font color = orange>american</font> <font color = orange>stage</font> , <font color = orange>film</font> <font color = orange>and</font> <font color = orange>television</font> <font color = orange>actress</font> .<SPLIT><font color = orange>she</font> <font color = orange>is</font> <font color = orange>perhaps</font> <font color = orange>best</font> <font color = orange>known</font> <font color = orange>for</font> <font color = orange>portraying</font> <font color = orange>the</font> <font color = orange>female</font> <font color = orange>changeling</font> <font color = orange>on</font> '' '' .<SPLIT>",5,Salome jens,"<<font color = orange>mask__25</font>> <<font color = orange>mask__23</font>> ( <<font color = orange>mask__8</font>> <<font color = orange>mask__22</font>> <<font color = orange>mask__21</font>> , <<font color = orange>mask__20</font>> ) <<font color = orange>mask__16</font>> <<font color = orange>mask__17</font>> <<font color = orange>mask__24</font>> <<font color = orange>mask__6</font>> , <<font color = orange>mask__7</font>> <<font color = orange>mask__3</font>> <<font color = orange>mask__2</font>> <<font color = orange>mask__5</font>> .<SPLIT><<font color = orange>mask__4</font>> <<font color = orange>mask__13</font>> <<font color = orange>mask__12</font>> <<font color = orange>mask__15</font>> <<font color = orange>mask__9</font>> <<font color = orange>mask__10</font>> <<font color = orange>mask__18</font>> <<font color = orange>mask__11</font>> <<font color = orange>mask__1</font>> <<font color = orange>mask__19</font>> <<font color = orange>mask__14</font>> '' '' .<SPLIT>",45323,1.430511474609375e-06,0.18280309438705444,5,5,5,626,Failed
6,Carl crawford,"<font color = pink>carl</font> demonte <font color = pink>crawford</font> ( <font color = pink>born</font> august 5 , 1981 ) , nicknamed <font color = pink>``</font> the <font color = pink>perfect</font> storm '' , is an <font color = pink>american</font> professional <font color = pink>baseball</font> <font color = pink>left</font> <font color = pink>fielder</font> <font color = pink>with</font> <font color = pink>the</font> <font color = pink>los</font> <font color = pink>angeles</font> <font color = pink>dodgers</font> of major <font color = pink>league</font> <font color = pink>baseball</font> ( mlb ) .<SPLIT><font color = pink>he</font> <font color = pink>bats</font> <font color = pink>and</font> throws <font color = pink>left-handed</font> .<SPLIT>crawford <font color = pink>was</font> drafted by the tampa bay devil <font color = pink>rays</font> <font color = pink>in</font> <font color = pink>the</font> second <font color = pink>round</font> ( 52nd overall ) of the 1999 <font color = pink>major</font> <font color = pink>league</font> <font color = pink>baseball</font> draft .<SPLIT><font color = pink>he</font> <font color = pink>made</font> his <font color = pink>major</font> <font color = pink>league</font> debut in <font color = pink>2002</font> .<SPLIT>crawford has more <font color = pink>triples</font> ( <font color = pink>121</font> ) <font color = pink>than</font> any other active <font color = pink>baseball</font> player .<SPLIT>",6,"Robert lawrence crawford , jr.","<<font color = blue>mask__37</font>> demonte <<font color = blue>mask__36</font>> ( <<font color = blue>mask__20</font>> august 5 , 1981 ) , nicknamed <<font color = blue>mask__5</font>> the <<font color = blue>mask__24</font>> storm '' , is an <<font color = blue>mask__17</font>> professional <<font color = blue>mask__11</font>> <<font color = blue>mask__31</font>> <<font color = blue>mask__33</font>> <<font color = blue>mask__26</font>> <<font color = blue>mask__12</font>> <<font color = blue>mask__27</font>> <<font color = blue>mask__28</font>> <<font color = blue>mask__29</font>> of major <<font color = blue>mask__7</font>> <<font color = blue>mask__25</font>> ( mlb ) .<SPLIT><<font color = blue>mask__19</font>> <<font color = blue>mask__16</font>> <<font color = blue>mask__15</font>> throws <<font color = blue>mask__18</font>> .<SPLIT>crawford <<font color = blue>mask__13</font>> drafted by the tampa bay devil <<font color = blue>mask__1</font>> <<font color = blue>mask__2</font>> <<font color = blue>mask__3</font>> second <<font color = blue>mask__4</font>> ( 52nd overall ) of the 1999 <<font color = blue>mask__30</font>> <<font color = blue>mask__9</font>> <<font color = blue>mask__22</font>> draft .<SPLIT><<font color = blue>mask__23</font>> <<font color = blue>mask__8</font>> his <<font color = blue>mask__6</font>> <<font color = blue>mask__21</font>> debut in <<font color = blue>mask__35</font>> .<SPLIT>crawford has more <<font color = blue>mask__32</font>> ( <<font color = blue>mask__34</font>> ) <<font color = blue>mask__14</font>> any other active <<font color = blue>mask__10</font>> player .<SPLIT>",6,2.86102294921875e-06,0.9362035393714905,6,47952,6,4144,Successful
7,Jim bob,"jim <font color = cyan>bob</font> ( born james <font color = cyan>neil</font> <font color = cyan>morrison</font> on <font color = cyan>22</font> <font color = cyan>november</font> <font color = cyan>1960</font> ) is a <font color = cyan>british</font> musician and <font color = cyan>author</font> , best known as the singer of indie punk band <font color = cyan>carter</font> <font color = cyan>usm</font> .<SPLIT>",7,Jim ward,"jim <<font color = green>mask__9</font>> ( born james <<font color = green>mask__10</font>> <<font color = green>mask__8</font>> on <<font color = green>mask__3</font>> <<font color = green>mask__4</font>> <<font color = green>mask__2</font>> ) is a <<font color = green>mask__1</font>> musician and <<font color = green>mask__7</font>> , best known as the singer of indie punk band <<font color = green>mask__6</font>> <<font color = green>mask__5</font>> .<SPLIT>",65191,1.2755393981933594e-05,0.6588343381881714,7,65191,7,424,Successful
8,Riddick parker,"<font color = gray>riddick</font> <font color = gray>parker</font> ( born <font color = gray>november</font> <font color = gray>20</font> , <font color = gray>1972</font> <font color = gray>in</font> <font color = gray>emporia</font> , <font color = gray>virginia</font> ) is a former professional american football defensive <font color = gray>lineman</font> <font color = gray>for</font> the seattle seahawks , san <font color = gray>diego</font> chargers , <font color = gray>new</font> england patriots , <font color = gray>baltimore</font> <font color = gray>ravens</font> , and san <font color = gray>francisco</font> <font color = gray>49ers</font> of the national football league .<SPLIT>",8,Lester williams,"<<font color = cyan>mask__16</font>> <<font color = cyan>mask__15</font>> ( born <<font color = cyan>mask__9</font>> <<font color = cyan>mask__10</font>> , <<font color = cyan>mask__11</font>> <<font color = cyan>mask__2</font>> <<font color = cyan>mask__14</font>> , <<font color = cyan>mask__8</font>> ) is a former professional american football defensive <<font color = cyan>mask__12</font>> <<font color = cyan>mask__6</font>> the seattle seahawks , san <<font color = cyan>mask__7</font>> chargers , <<font color = cyan>mask__1</font>> england patriots , <<font color = cyan>mask__5</font>> <<font color = cyan>mask__4</font>> , and san <<font color = cyan>mask__3</font>> <<font color = cyan>mask__13</font>> of the national football league .<SPLIT>",8,1.1920928955078125e-06,0.5243081450462341,8,33627,8,939,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed <font color = brown>osanna</font> of <font color = brown>cattaro</font> t.o.s.d. ( ) was a catholic visionary and anchoress from <font color = brown>cattaro</font> ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,9,"Bl . margaret of castello , t.o.s.d.",blessed <<font color = red>mask__2</font>> of <<font color = red>mask__3</font>> t.o.s.d. ( ) was a catholic visionary and anchoress from <<font color = red>mask__1</font>> ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,9,2.384185791015625e-06,0.6749426126480103,9,56000,9,245,Successful
