,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff <mask> ( born february 12, <mask> ) is a former major league baseball player.<SPLIT>he was the first-round pick of the <mask> <mask> in the secondary phase of the <mask> 1970 major league baseball draft, tenth overall.",Tremaine fowlkes,"<mask> shenoff <mask> ( born february 12, <mask> ) is a <mask> <mask> <mask> <mask> player.<SPLIT>he was the <mask> pick of the <mask> <mask> in the secondary <mask> of the <mask> <mask> <mask> <mask> <mask> <mask>, tenth overall.",-16.42266082763672,1.165625810623169,0,76906,0,190,Successful
1,Armand jung,"<mask> <mask> ( born 25 august <mask> in rhges ) is a member of the <mask> of <mask> .<SPLIT>he was first elected in <mask> , and represents the <mask> department.<SPLIT>a <mask> by profession, he serves as an <mask> , and also serves as the head of the <mask> <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the <mask> in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",Armand jung,"<mask> <mask> ( born 25 august <mask> in rhges ) is a member of the <mask> of <mask> .<SPLIT>he was first elected in <mask> , and <mask> the <mask> department.<SPLIT>a <mask> by profession, he serves as an <mask> , and also serves as the head of the <mask> <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in <mask>.<SPLIT>in 1998 and 2008, he was re-elected to the <mask> in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",-1.9756889343261719,0.5199241638183594,29525,29525,1,80,Successful
2,Miroslav popov,<mask> <mask> ( born <mask> <mask> <mask> in dvr krlov <mask> <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jiří lenko,<mask> <mask> ( <mask> <mask> <mask> <mask> in <mask> <mask> <mask> <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> <mask> <mask> in <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>.,-16.260149002075195,-0.3080606460571289,2,85924,2,325,Successful
3,Jack reynolds,"<mask> `` <mask> '' <mask> ( 21 february <mask> -- 12 march <mask> ) was a <mask> who played for, among others, <mask> <mask> <mask> , <mask> <mask> and <mask> .<SPLIT>as an international he played five times for <mask> before it emerged that he was actually <mask> and he subsequently played eight times for <mask> .<SPLIT>he is the only player, barring own goals, to score for and against <mask> and is the only player to play for both <mask> and <mask> .<SPLIT>he won the fa cup with <mask> <mask> <mask> in <mask> and was",Curt söderberg,"<mask> `` <mask> '' <mask> ( <mask> <mask> <mask> -- <mask> <mask> <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>, <mask> <mask>, <mask> <mask> <mask> , <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask>, <mask> <mask> <mask>, <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>",-14.195182800292969,-4.626108646392822,3,137317,3,904,Failed
4,Akoo nana,"<mask> <mask> <mask> , ( born 7th july <mask> ) better known by his stage name <mask> <mask> is a <mask> musician from <mask> .<SPLIT>since <mask> , he has been making a large impact in africa's <mask> scene through his authentic sounding music and captivating stage craft.",Peter homann,"<mask> <mask> <mask> , ( <mask> <mask> <mask> <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> , <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>.",-17.70407485961914,-2.5607404708862305,4,76690,4,466,Failed
5,Teoctist,"<mask> (, born <mask> arpau ; february 7, <mask> -- july <mask> , 2007 ) was the <mask> of the <mask> <mask> <mask> from 1986 to <mask> . <mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit <mask> in 1999.<SPLIT>it",Simon arshaki ter-petrosian -lrb- kamo -rrb-,"<mask> (, <mask> <mask> <mask> ; <mask> <mask>, <mask> -- <mask> <mask> , <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> . <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>, <mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>, <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> <mask> <mask> <mask> <mask>, <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask>",-16.342004776000977,-6.894552230834961,5,50476,5,1276,Failed
6,Emile baron,<mask> <mask> ( born 27 february 1979 ) is a <mask> african football ( soccer ) <mask> who plays for premier soccer league club <mask> <mask> and <mask> <mask> .,Brandon peterson,<mask> <mask> ( <mask> <mask> <mask> <mask> ) <mask> <mask> <mask> <mask> <mask> ( <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .,-14.122661590576172,-6.8935346603393555,100672,105483,6,137,Failed
7,Gabriella ferrari,"<mask> <mask> <mask> ( born in <mask> , <mask> ) is a beauty queen who was crowned <mask> <mask> <mask> <mask> on september 18, <mask> , becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> <mask> per <mask> and <mask> per <mask> , and represented her country in both <mask> <mask> 2008 and <mask> <mask> <mask> .<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per <mask> .<SPLIT>she represented her country in the <mask>",Isabella gerasole,"<mask> <mask> <mask> ( born <mask> <mask> , <mask> ) is <mask> beauty <mask> <mask> <mask> crowned <mask> <mask> <mask> <mask> <mask> <mask> <mask>, <mask> , becoming that pageant's <mask> first titleholder <mask> <mask> <mask>.<SPLIT>prior <mask> winning <mask> <mask> <mask> , she <mask> <mask> <mask> <mask> <mask> and <mask> <mask> <mask> , and <mask> <mask> <mask> <mask> both <mask> <mask> <mask> and <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask>, <mask>, <mask> <mask> designated as <mask> new <mask> <mask> <mask> .<SPLIT>she <mask> <mask> <mask> <mask> <mask> <mask>",-12.442811965942383,0.6614788770675659,138885,18970,7,551,Successful
8,Manuel sala,"<mask> <mask> ( born <mask> 5, <mask> ) is a retired angolan football player.<SPLIT>he has played for <mask> national team.",Miran kabe,"<mask> <mask> ( <mask> <mask> <mask>, <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>.<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask>.",-10.370766639709473,-4.120787143707275,30302,7605,8,106,Failed
9,Frederic william maitland,"<mask> <mask> <mask> <mask> ( 1 <mask> <mask> -- <mask> august <mask> ) was a british <mask> and <mask> whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time <mask> in 1879.<SPLIT>for the services rendered",Robert stuart macrae,"<mask> <mask> <mask> <mask> ( 1 <mask> <mask> -- <mask> august <mask> ) <mask> <mask> <mask> <mask> <mask> <mask> <mask> principal <mask> <mask> `` <mask> <mask> <mask>, <mask> <mask> from <mask> earliest times to <mask> '', <mask> <mask> that is still in <mask>.<SPLIT>he also <mask> numerous technical <mask> on <mask> technology <mask> <mask> <mask> <mask> also noted for his <mask> <mask> <mask> <mask> in <mask> <mask> united states.<SPLIT>despite having trained as <mask> <mask>, <mask> had always <mask> <mask> <mask> <mask>, <mask> his first <mask> in <mask> <mask> becoming <mask> full-time <mask> in <mask>.<SPLIT>for <mask> services <mask>",-13.86336898803711,1.7388827800750732,116538,85106,9,1426,Successful
10,Dan besse,"daniel vaughn ( <mask> ) <mask> ( born december <mask> , <mask> ) is a graduate of unc-chapel hill school of law ( 1980 ), an <mask> , and, since 2001, a city councilman in winston-salem, <mask> <mask> .<SPLIT>he was one of four <mask> candidates in the <mask> lt. <mask> election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the <mask> campaign, <mask> received the endorsement of the progressive democrats of <mask> <mask> and the conservation",Ronald v. pelosi,"<mask> vaughn ( <mask> ) <mask> ( born december <mask> , <mask> ) is a <mask> of <mask> <mask> <mask> of <mask> ( 1980 ), an <mask> , and, since 2001, a city councilman in <mask>, <mask> <mask> .<SPLIT>he was one of four <mask> candidates in <mask> <mask> <mask>. <mask> election for <mask> seat vacated by beverly <mask>, but came in last in <mask> <mask>, which was won by walter dalton.<SPLIT>in <mask> <mask> <mask>, <mask> received <mask> <mask> of <mask> progressive <mask> of <mask> <mask> and <mask> conservation",-11.80958080291748,3.19313907623291,10,88652,10,596,Successful
11,Jon courtney,"<mask> <mask> is an english <mask> guitarist and singer from <mask> , england, who plays <mask> <mask> <mask> .<SPLIT>he also produced and recorded <mask> <mask> under the name the <mask> <mask> <mask> .",Anna graceman,"<mask> <mask> <mask> an <mask> <mask> <mask> <mask> singer from <mask> , <mask>, <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> also <mask> <mask> <mask> <mask> <mask> under the <mask> the <mask> <mask> <mask> .",-8.417377471923828,0.9063684940338135,81989,39910,11,133,Successful
12,Giuseppe mariani,<mask> <mask> was an italian <mask> <mask> .<SPLIT>he was nominated for an academy award in the category best <mask> direction for the film `` the taming of the shrew ''.,Boris juraga,<mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> `` <mask> <mask> <mask> <mask> <mask> ''.,-15.835500717163086,-9.210442543029785,12,19054,12,154,Failed
13,Tang li,"<mask> <mask> ( <mask> :  ; <mask> : tng l ; born <mask> <mask> , <mask> ) is a <mask> professional go player.",Miss ko,"<mask> <mask> ( <mask> :  ; <mask> : <mask> <mask> ; <mask> <mask> <mask> , <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>.",-14.77646255493164,-9.036764144897461,13,19200,13,37,Failed
14,Maurice jay,"<mask> <mask> is an irish broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in <mask> , the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london. <mask> worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",Chris westwood,"<mask> <mask> is an <mask> <mask>, <mask>, documentary <mask> and audiobook publisher.<SPLIT>he grew up in <mask> , the eldest of six children.<SPLIT>after leaving school he worked on <mask> in the usa before moving to london. <mask> worked for an interior design and building company for four years before <mask> as a <mask> reporter.<SPLIT>in 1992, he began dj ` ing <mask> for the london radio station <mask> glr.",-6.653650760650635,1.753351092338562,129263,48229,14,373,Successful
