,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",Lenny randle,"[MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] , [MASK] ) is a [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] the [MASK]-[MASK] [MASK] of the [MASK] [MASK] in the [MASK] [MASK] of the [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] , [MASK] [MASK] .<SPLIT>",-1.0,0.06220773234963417,0,0,0,634,Successful
1,Lenny randle,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in",Lenny randle,"[MASK] [MASK] ( [MASK] [MASK] [MASK] [MASK] in [MASK] ) is a [MASK] of the [MASK] of [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] in [MASK] , and [MASK] the [MASK] [MASK] .<SPLIT>a [MASK] [MASK] [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] , and [MASK] [MASK] [MASK] the [MASK] of the [MASK] [MASK] of [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] the [MASK] of [MASK]-[MASK]-[MASK] in [MASK] .<SPLIT>in [MASK] and [MASK] , [MASK] [MASK] [MASK]-[MASK] [MASK] the [MASK] in the [MASK] [MASK] , [MASK] the [MASK] [MASK] a [MASK]-[MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] the [MASK] of the [MASK] of [MASK] of [MASK] , in",-1.0,0.06220773234963417,0,0,1,3584,Successful
2,Lenny randle,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,Lenny randle,[MASK] [MASK] ( [MASK] [MASK] [MASK] [MASK] in [MASK] [MASK] [MASK] [MASK] ) is a [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] in the [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] a [MASK] .<SPLIT>,-1.0,0.06220773234963417,0,0,2,610,Successful
3,Lenny randle,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the",Lenny randle,"[MASK] `` [MASK] '' [MASK] ( [MASK] [MASK] [MASK] -- [MASK] [MASK] [MASK] ) [MASK] a [MASK] [MASK] [MASK] [MASK] , [MASK] [MASK] , [MASK] [MASK] [MASK] , [MASK] [MASK] and [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] is the [MASK] [MASK] , [MASK] [MASK] [MASK] , [MASK] [MASK] [MASK] and [MASK] [MASK] and is the [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] .<SPLIT>[MASK] [MASK] the",-1.0,0.07338684052228928,0,0,3,2486,Successful
4,Lenny randle,"william ato ankrah , ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating",Lenny randle,"[MASK] [MASK] [MASK] , ( [MASK] [MASK] [MASK] [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] name [MASK] [MASK] is a [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] , [MASK] [MASK] [MASK] [MASK] a [MASK] [MASK] in [MASK] '[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK]",-1.0,0.06220773234963417,0,0,4,834,Successful
5,Lenny randle,"teoctist ( , born toader arăpașu ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>teoctist served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999",Lenny randle,"[MASK] ( , [MASK] [MASK] [MASK] ; [MASK] [MASK] , [MASK] -- [MASK] [MASK] , [MASK] ) [MASK] the [MASK] of the [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] the [MASK] [MASK] [MASK] , and [MASK] [MASK] [MASK] [MASK] of [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] the [MASK] [MASK] of [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] a [MASK] [MASK] [MASK] .<SPLIT>a [MASK] of [MASK] [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] in [MASK]",-1.0,0.06220773234963417,0,0,5,2550,Successful
6,Lenny randle,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,Lenny randle,[MASK] [MASK] ( [MASK] [MASK] [MASK] [MASK] ) is a [MASK] [MASK] [MASK] ( [MASK] ) [MASK]-[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] [MASK] .<SPLIT>,-1.0,0.06220773234963417,0,0,6,312,Successful
7,Lenny randle,"giuliana zevallos roncagliolo ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented",Lenny randle,"[MASK] [MASK] [MASK] ( [MASK] in [MASK] , [MASK] ) is a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] , [MASK] , [MASK] [MASK] [MASK] '[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] [MASK] [MASK] , and [MASK] [MASK] [MASK] in [MASK] [MASK] [MASK] [MASK] and [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] , [MASK] , [MASK] [MASK] [MASK] [MASK] the [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK]",-1.0,0.06220773234963417,0,0,7,1881,Successful
8,Lenny randle,"renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team",Lenny randle,"[MASK] [MASK] ( [MASK] [MASK] [MASK] , [MASK] ) is a [MASK] [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]",-1.0,0.06220773234963417,0,0,8,188,Successful
9,Lenny randle,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his",Lenny randle,"[MASK] [MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] -- [MASK] [MASK] [MASK] ) [MASK] a [MASK] [MASK] and [MASK] [MASK] [MASK] [MASK] [MASK] `` the [MASK] [MASK] , a [MASK] [MASK] the [MASK] [MASK] [MASK] [MASK] '' , a [MASK] [MASK] is [MASK] in [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] and [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] in the [MASK] [MASK] [MASK] .<SPLIT>[MASK] [MASK] [MASK] [MASK] a [MASK] , [MASK] [MASK] [MASK] [MASK] [MASK] and [MASK] , [MASK] [MASK] [MASK] [MASK] in [MASK] and [MASK] a [MASK]-[MASK] [MASK] in [MASK] .<SPLIT>[MASK] the [MASK] [MASK] in [MASK]",-1.0,0.07338684052228928,0,0,9,4180,Successful
