,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria (also known as khail iii) was the coptic pope of alexandria and patriarch of the see of st. mark (880 -- 907) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Ashot ii,"<mask> <mask> <mask> of <mask> (also known as khail <mask>) was the <mask> <mask> of <mask> and <mask> of the <mask> of <mask>. <mask> (880 -- 907) .<SPLIT>in 882 , the governor of <mask> , <mask> <mask> tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo <mask> .<SPLIT>",0.3989261984825134,0.9938724040985107,0,9904,0,3974,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Dirk müller -lrb- racing driver -rrb-,<mask> <mask> is a <mask> <mask> <mask> <mask> <mask> from <mask> .<SPLIT>,0.38528972864151,0.9991592764854431,1,601,1,208,Successful
2,Okan öztürk,okan Öztürk (born 30 november 1977) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Koji hachisuka,<mask> <mask> (born 30 november <mask>) is a <mask> professional footballer .<SPLIT>he currently plays as <mask> <mask> for yeni <mask> .<SPLIT>,0.08415138721466064,0.9992758631706238,2,4650,2,417,Successful
3,Marie stephan,"marie stephan , (born march 14 , 1996) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Dylan murray,"<mask> <mask> , (<mask> march 14 , <mask>) is <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> a career-high <mask> <mask> <mask> <mask> no. <mask> in july <mask> .<SPLIT>",0.03826117515563965,0.973112940788269,3,8083,3,1288,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Kenneth j. smith,<mask> l. <mask> is a former democratic member of the <mask> house of representatives .<SPLIT>he was <mask> in butler to michael and angela <mask> <mask> .<SPLIT>,0.2440924048423767,0.9737924933433533,4,10659,4,466,Successful
5,Salome jens,"salome jens (born may 8 , 1935) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Kristen wilson,"<mask> <mask> (born may 8 , <mask>) is an american <mask> , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.02005791664123535,0.9834544658660889,5,9496,5,302,Successful
6,Carl crawford,"carl demonte crawford (born august 5 , 1981) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball (mlb) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round (52nd overall) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples (121) than any other active baseball player .<SPLIT>",Alex wood,"<mask> <mask> <mask> (born august 5 , <mask>) , <mask> <mask> the <mask> <mask> '' , <mask> an american <mask> baseball <mask> <mask> <mask> the <mask> <mask> <mask> of major league <mask> (<mask>) .<SPLIT><mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> drafted <mask> the <mask> <mask> <mask> <mask> in the second round (<mask> overall) of <mask> <mask> <mask> league baseball <mask> .<SPLIT>he made <mask> major league <mask> in <mask> .<SPLIT><mask> <mask> <mask> <mask> (<mask>) <mask> <mask> <mask> active <mask> <mask> .<SPLIT>",0.0049211978912353516,0.9924294948577881,6,14514,6,9664,Successful
7,Jim bob,"jim bob (born james neil morrison on 22 november 1960) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Angry anderson,"<mask> <mask> (born <mask> neil morrison on 22 november <mask>) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",0.6757029294967651,0.983584463596344,7,7311,7,328,Successful
8,Riddick parker,"riddick parker (born november 20 , 1972 in emporia , virginia) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Tommy hart,"<mask> <mask> (born november 20 , <mask> in emporia , <mask>) is a former professional american football <mask> lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0365680456161499,0.9869574308395386,8,2381,8,607,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. (-rrb- was a catholic visionary and anchoress from cattaro (kotor) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,Blessed anna maria rubatto,blessed <mask> <mask> cattaro t.o.s.d. (-rrb- was a catholic visionary and anchoress from cattaro (<mask>) .<SPLIT>she was a teenage convert from orthodoxy of <mask> descent from <mask> (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in <mask> .<SPLIT>she was later beatified in 1934 .<SPLIT>,0.3236197233200073,0.9969423413276672,9,3107,9,1012,Successful
