"original_person","original_text","perturbed_person","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Lenny randle","leonard shenoff randle ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>","Joe coleman","[MASK] shenoff [MASK] ( born february 12 , [MASK] ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",-15.6950101852417,0.9200842976570129,0,73836,0,322,"Successful"
"Philippe adnot","philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in","Jean defraigne","[MASK] [MASK] ( born 25 [MASK] [MASK] in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in [MASK] , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in",-14.942732810974121,0.9590684771537781,1,135213,1,1576,"Successful"
"Miroslav popov","miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>","Jordi carchano","[MASK] [MASK] ( born 14 [MASK] [MASK] in [MASK] [MASK] [MASK] [MASK] ) is a [MASK] grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>",-17.340431213378906,0.7407666444778442,2,132875,2,1012,"Successful"
"Jack reynolds","john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the","Jackie mudie","john [MASK] jack '' [MASK] ( 21 [MASK] [MASK] -- 12 march [MASK] ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the",-16.618207931518555,0.8895390629768372,3,74880,3,1304,"Successful"
"Akoo nana","william ato ankrah , ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating","Benedict wallet vilakazi","[MASK] [MASK] [MASK] , ( born 7th [MASK] [MASK] ) better known by his stage name [MASK] [MASK] is a hiplife musician from [MASK] .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating",-19.462779998779297,0.7949053049087524,4,72139,4,1107,"Successful"
"Teoctist","teoctist ( , born toader arăpașu ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>teoctist served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999","Damaskinos","[MASK] ( , born [MASK] [MASK] ; [MASK] 7 , [MASK] -- [MASK] 30 , [MASK] ) was the [MASK] of the [MASK] [MASK] church from [MASK] to [MASK] .<SPLIT>[MASK] served his first years as patriarch under the [MASK] [MASK] [MASK] , and was accused by some of collaboration .<SPLIT>he offered his resignation after the [MASK] revolution of [MASK] , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited [MASK] john [MASK] ii to visit [MASK] in [MASK]",-16.94420623779297,0.7938904166221619,5,109791,5,5877,"Successful"
"Dillon sheppard","dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa .<SPLIT>","Luyolo nomandela","[MASK] [MASK] ( born 27 [MASK] [MASK] ) is a south african football ( soccer ) [MASK] who plays for premier soccer league club [MASK] [MASK] and south africa .<SPLIT>",-17.045072555541992,0.9703509211540222,6,21294,6,542,"Successful"
"Giuliana zevallos","giuliana zevallos roncagliolo ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented","Sarah beth james","[MASK] [MASK] [MASK] ( born [MASK] [MASK] , [MASK] ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth [MASK] 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented",-16.482500076293945,0.9091362953186035,7,109855,7,1817,"Successful"
"Renato campos","renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team","Manuel sala","[MASK] [MASK] ( born [MASK] 5 , [MASK] ) is a retired angolan football player .<SPLIT>he has played for angola national team",-17.524658203125,0.7777667045593262,8,30302,8,224,"Successful"
"Sir william laird clowes","sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his","William thomas stead","sir william [MASK] [MASK] ( 1 [MASK] [MASK] -- 14 [MASK] [MASK] ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his",-17.27438735961914,0.6998162865638733,9,42328,9,1978,"Successful"
