,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Jerry schoonmaker,"[MASK] shenoff [MASK] ( born [MASK] [MASK], [MASK] ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary [MASK] of the [MASK] [MASK] major league baseball draft, tenth overall.",-15.6950101852417,12.42896842956543,0,108524,0,277,Successful
1,Philippe adnot,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",Jean defraigne,"[MASK] [MASK] ( born 25 [MASK] [MASK] in rheges ) is a member of the senate of france. he was first elected in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",-14.942732810974121,6.562946796417236,1,135213,1,476,Successful
2,Miroslav popov,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jordi carchano,[MASK] [MASK] ( born [MASK] [MASK] [MASK] in [MASK] [MASK] [MASK] [MASK] ) is a [MASK] [MASK] prix [MASK] racer. he [MASK] races in the [MASK] [MASK] [MASK] championship for [MASK] broz racing team [MASK] a suter.,-17.340431213378906,6.6146745681762695,2,132875,2,478,Successful
3,Jack reynolds,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",Johnny dixon,"john ` ` [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a footballer who played for, among others, west bromwich albion, [MASK] villa and celtic. as an international he played five times for ireland before it emerged that he was actually [MASK] and he subsequently played eight times for [MASK]. he is the only player, [MASK] own goals, to score for and against [MASK] and is the only player to play for both ireland and england. he won the fa cup with",-16.681798934936523,5.686949729919434,3,99426,3,976,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Mc xander,"[MASK] [MASK] [MASK], ( [MASK] 7th [MASK] [MASK] ) better [MASK] by [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] a [MASK] musician [MASK] [MASK]. since [MASK], [MASK] has been making a large [MASK] in [MASK] [MASK] scene through his authentic sounding music and captivating stage [MASK].",-19.481721878051758,18.630374908447266,4,70136,4,716,Successful
5,Teoctist,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",Alexander,"[MASK] (, born [MASK] [MASK] ; [MASK] [MASK], [MASK] - - [MASK] [MASK], [MASK] ) was [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] served [MASK] first years as [MASK] under [MASK] [MASK] communist [MASK], [MASK] was accused [MASK] some [MASK] collaboration. he offered [MASK] resignation after [MASK] [MASK] revolution [MASK] [MASK], but was soon [MASK] to office [MASK] served a further [MASK] years. a [MASK] [MASK] [MASK] [MASK], [MASK] [MASK] invited [MASK] john paul ii to visit [MASK] in [MASK]. it was [MASK] first",-16.909154891967773,2.9924747943878174,5,115074,5,2791,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Lantshane phalane,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a south african football ( soccer ) left - winger who plays for premier soccer league club [MASK] [MASK] and south africa.,-17.045072555541992,7.2186431884765625,6,131829,6,162,Successful
7,Giuliana zevallos,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",Johana riva garabetian,"[MASK] [MASK] [MASK] ( born in [MASK], [MASK] ) is a beauty queen who was crowned miss [MASK] [MASK] [MASK] on [MASK] [MASK], [MASK], becoming that [MASK] very first titleholder from her country. prior to winning miss [MASK] [MASK], she was miss [MASK] [MASK] [MASK] and miss [MASK] [MASK], and represented her country in both miss earth [MASK] and miss universe [MASK]. on february [MASK], [MASK], [MASK] was designated as the new miss [MASK] world. she represented her country in the miss world [MASK]",-16.4292049407959,5.987811088562012,7,139479,7,1808,Successful
8,Renato campos,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",Kazuo imanishi,"[MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is a retired [MASK] football player. he has played for [MASK] national team.",-17.542322158813477,4.648532390594482,8,120780,8,113,Successful
9,Sir william laird clowes,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",Reginald robinson lee,"[MASK] [MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a [MASK] [MASK] [MASK] historian [MASK] principal work was ` ` the [MASK] navy, a history from the earliest times to 1900'', a text that is still in [MASK]. he also wrote numerous technical pieces on naval technology [MASK] strategy [MASK] was also noted for his articles [MASK] [MASK] politics in the southern united states. despite having trained as a lawyer, [MASK] [MASK] [MASK] [MASK] literature [MASK] writing, publishing his first work in [MASK] [MASK] becoming a full - time [MASK] in [MASK]. for the [MASK] [MASK] in his",-17.27438735961914,4.371520519256592,9,140332,9,2543,Successful
