,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria (also known as khail iii) was the coptic pope of alexandria and patriarch of the see of st. mark (880 -- 907) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Eze nri ezimilo,"<mask> <mask> <mask> <mask> <mask> (also known as <mask> <mask>) was <mask> <mask> <mask> <mask> <mask> and <mask> <mask> <mask> <mask> <mask> <mask>. mark (<mask> -- <mask>) .<SPLIT>in <mask> , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a <mask> and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the <mask> geniza .<SPLIT>",0.25176286697387695,0.9998503923416138,0,1936,0,5486,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Hiroshi matsuda,<mask> <mask> <mask> <mask> <mask> former <mask> <mask> <mask> <mask> <mask> .<SPLIT>,0.02265876531600952,0.9999165534973145,1,1852,1,228,Successful
2,Okan öztürk,okan Öztürk (born 30 november 1977) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Ľuboš hanzel,<mask> <mask> (born 30 <mask> <mask>) is a <mask> professional footballer .<SPLIT>he currently plays as a <mask> <mask> <mask> <mask> .<SPLIT>,0.011756300926208496,0.9999159574508667,2,7201,2,517,Successful
3,Marie stephan,"marie stephan , (born march 14 , 1996) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Colin ratushniak,"<mask> <mask> , (born <mask> 14 , <mask>) is a professional <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> a career-high world <mask> <mask> world <mask>. <mask> in <mask> <mask> .<SPLIT>",0.016491472721099854,0.9998847842216492,3,7610,3,1212,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Enrique t. ona,<mask> <mask>. <mask> <mask> <mask> <mask> <mask> <mask> of <mask> <mask> <mask> of <mask> .<SPLIT><mask> was <mask> <mask> <mask> to <mask> <mask> angela <mask> <mask> .<SPLIT>,0.039794921875,0.9999155402183533,4,3308,4,1166,Successful
5,Salome jens,"salome jens (born may 8 , 1935) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Juliana chen,"<mask> <mask> (born <mask> 8 , <mask>) is <mask> <mask> <mask> , <mask> <mask> <mask> <mask> .<SPLIT>she is <mask> <mask> <mask> <mask> <mask> <mask> female changeling on '' '' .<SPLIT>",0.017676353454589844,0.999894380569458,5,3726,5,1082,Successful
6,Carl crawford,"carl demonte crawford (born august 5 , 1981) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball (mlb) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round (52nd overall) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples (121) than any other active baseball player .<SPLIT>",Vance wilson,"<mask> demonte <mask> (born <mask> 5 , <mask>) , <mask> <mask> <mask> perfect <mask> '' , <mask> <mask> american professional <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> major league <mask> (<mask>) .<SPLIT>he <mask> and <mask> <mask> .<SPLIT><mask> was <mask> <mask> <mask> <mask> <mask> <mask> <mask> in the second round (52nd <mask>) of the <mask> major <mask> baseball <mask> .<SPLIT>he made <mask> major league <mask> in <mask> .<SPLIT><mask> <mask> <mask> <mask> (121) <mask> any other <mask> baseball <mask> .<SPLIT>",0.011145472526550293,0.9998594522476196,6,2691,6,9436,Successful
7,Jim bob,"jim bob (born james neil morrison on 22 november 1960) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Val wilmer,"<mask> <mask> (born <mask> neil morrison on 22 <mask> <mask>) <mask> <mask> <mask> <mask> and author , best known <mask> <mask> <mask> <mask> <mask> <mask> <mask> carter usm .<SPLIT>",0.06662636995315552,0.9998392462730408,7,9744,7,1168,Successful
8,Riddick parker,"riddick parker (born november 20 , 1972 in emporia , virginia) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Ivan hlinka,"<mask> <mask> (born <mask> 20 , <mask> <mask> <mask> , <mask>) <mask> a <mask> professional <mask> <mask> <mask> <mask> <mask> the <mask> <mask> , san diego <mask> , <mask> <mask> <mask> , <mask> <mask> , and san francisco <mask> of the national <mask> league .<SPLIT>",0.006424963474273682,0.9998588562011719,8,714,8,2431,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. -lrb-) was a catholic visionary and anchoress from cattaro (kotor) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,Hortensia antommarchi,<mask> <mask> <mask> <mask> t.o.s.d. -<mask>) was a <mask> <mask> and anchoress from <mask> (<mask>) .<SPLIT>she was a teenage <mask> from <mask> of <mask> descent from <mask> (<mask>) .<SPLIT>she became <mask> dominican tertiary <mask> was posthumously <mask> as a <mask> in <mask> .<SPLIT>she was later <mask> in 1934 .<SPLIT>,0.10375601053237915,0.9998229742050171,9,14437,9,3168,Successful
10,Thaila ayala,"thaila ayala sales (born april 14 , 1986 in presidente prudente) is a brazilian actress and model .<SPLIT>",Edgardo di meola,"<mask> <mask> <mask> (born <mask> 14 , <mask> <mask> <mask> <mask>) is <mask> <mask> <mask> <mask> <mask> .<SPLIT>",0.017846107482910156,0.9998745918273926,10,1754,10,473,Successful
11,Sven leuenberger,"sven leuenberger (born august 25 , 1969 in niederuzwil , switzerland) is a retired swiss professional ice hockey defender .<SPLIT>playing in the nla-a , leuenberger accumulated 74 goals , 173 assists , and 443 penalty minutes in the regular season .<SPLIT>since the nla 2006 season , leuenberger has been the general manager (sports director) of the sc bern .<SPLIT>on august 1 , 2008 sc bern 's coach suffered , john van boxmeer , a heart attack side-lining him for a month .<SPLIT>during van boxmeer 's absence , general manager sven leuenberger coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",Keegan asmundson,"<mask> <mask> (<mask> <mask> <mask> , <mask> <mask> <mask> , <mask>) <mask> <mask> <mask> <mask> professional <mask> <mask> <mask> .<SPLIT><mask> in <mask> <mask> , <mask> <mask> <mask> <mask> , <mask> <mask> , <mask> <mask> <mask> minutes <mask> <mask> regular <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> , <mask> <mask> <mask> <mask> <mask> <mask> (<mask> <mask>) <mask> <mask> <mask> <mask> .<SPLIT>on august <mask> , <mask> <mask> <mask> 's <mask> <mask> , <mask> <mask> <mask> , <mask> heart <mask> side-lining <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> '<mask> absence , <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> -<mask> <mask>://<mask>.<mask>.<mask>/<mask>/<mask>/<mask>/<mask>/<mask>/<mask>.<mask>] .<SPLIT>",0.002177119255065918,0.9999077320098877,11,12262,11,20487,Successful
