,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Brandon harper,"<mask> shenoff <mask> ( born february 12, <mask> ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june <mask> major league baseball draft, tenth overall.",-17.308380126953125,-7.371036529541016,0,7025,0,115,Successful
1,Philippe adnot,"<mask> <mask> ( born 25 august 1945 in rhges ) is a member of the senate of <mask> .<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the <mask> <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",Alain destexhe,"<mask> <mask> ( born 25 august <mask> in rhges ) is a member of the senate of <mask> .<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the <mask> <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",-9.191737174987793,-7.249510765075684,1,12334,1,46,Successful
2,Miroslav popov,<mask> <mask> ( born 14 june 1995 in dvr krlov nad <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jordi carchano,<mask> <mask> ( born 14 june <mask> in <mask> <mask> <mask> <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,-17.915380477905273,-10.858307838439941,2,132875,2,111,Successful
3,Jack reynolds,"john `` jack '' <mask> ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in <mask> and was",Andy cunningham,"<mask> `` <mask> '' <mask> ( 21 <mask> <mask> -- 12 march <mask> ) was a footballer who played <mask>, <mask> <mask>, west <mask> <mask>, aston villa and celtic.<SPLIT>as an <mask> he played five times <mask> <mask> before it emerged that he was <mask> <mask> and he subsequently played eight times <mask> <mask>.<SPLIT>he is the only player, <mask> own goals, to score <mask> and against <mask> and is the only player to play <mask> both <mask> and <mask>.<SPLIT>he won the fa cup with west <mask> <mask> in <mask> and was",-16.19036102294922,-7.433826446533203,3,83338,3,777,Successful
4,Akoo nana,"william ato <mask> , ( born 7th july 1979 ) better known by his stage name <mask> <mask> is a <mask> musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's <mask> scene through his authentic sounding music and captivating stage craft.",Demarco,"<mask> <mask> <mask> , ( born 7th <mask> <mask> ) <mask> known by his stage name <mask> <mask> <mask> <mask> <mask> musician from <mask>.<SPLIT><mask> <mask>, he has been making <mask> large <mask> in <mask> <mask> scene through his authentic sounding music and captivating stage craft.",-20.360137939453125,-11.774144172668457,4,124633,4,355,Successful
5,Teoctist,"<mask> (, born toader arpau ; february 7, 1915 -- july 30, 2007 ) was the <mask> of the <mask> <mask> church from 1986 to 2007. <mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit <mask> in 1999.<SPLIT>it",Christodoulos,"<mask> (, born <mask> <mask> ; <mask> 7, <mask> -- july 30, <mask> ) was the <mask> of the <mask> <mask> church from <mask> <mask> <mask>. <mask> served his first years as <mask> under the <mask> <mask> <mask>, and was accused by some of collaboration.<SPLIT>he <mask> his <mask> after the <mask> revolution of <mask>, but was soon <mask> <mask> office and served a further 17 years.<SPLIT>a promoter of <mask> dialogue, <mask> <mask> invited pope john <mask> ii <mask> visit <mask> in 1999.<SPLIT>it",-15.377084732055664,-9.875191688537598,5,125248,5,706,Successful
6,Dillon sheppard,dillon <mask> ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,Thulani hlatshwayo,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) <mask> who plays for premier soccer league club <mask> wits and south africa.,-16.343154907226562,-11.034087181091309,6,3359,6,83,Successful
7,Giuliana zevallos,"<mask> <mask> roncagliolo ( born in lima, peru ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> <mask> 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",Gabriella ferrari,"<mask> <mask> <mask> ( born <mask> <mask>, <mask> ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> <mask> per 2008 and <mask> per 2010, and represented her country <mask> both <mask> <mask> 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country <mask> the <mask>",-17.595035552978516,-11.281577110290527,7,138885,7,211,Successful
8,Renato campos,"<mask> <mask> ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",Masaru uchiyama,"<mask> <mask> ( born september 5, <mask> ) is a retired <mask> football player.<SPLIT>he has played for <mask> <mask> team.",-13.16968822479248,-3.976012706756592,8,57552,8,63,Successful
9,Sir william laird clowes,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august 1905 ) was a british journalist and <mask> whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",Sir george walter prothero,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august <mask> ) was <mask> british <mask> and <mask> whose principal work was `` the royal navy, <mask> <mask> from the earliest times to 1900 '', <mask> text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and <mask> and was also noted for his articles <mask> <mask> <mask> in the <mask> united states.<SPLIT>despite having trained as <mask> <mask>, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming <mask> full-time <mask> in 1879.<SPLIT>for the services rendered",-16.118350982666016,-11.355546951293945,9,86799,9,626,Successful
10,Dan besse,"daniel vaughn ( <mask> ) <mask> ( born december 28, 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ), an <mask> , and, since 2001, a city councilman in winston-salem, <mask> <mask> .<SPLIT>he was one of four democratic candidates in the 2008 lt. <mask> election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, <mask> received the endorsement of the progressive democrats of <mask> <mask> and the conservation",Tommy wells,"<mask> vaughn ( <mask> ) <mask> ( born december 28, <mask> ) is a graduate of unc-chapel hill school of law ( 1980 ), an <mask> , and, since 2001, a city councilman in <mask>, <mask> <mask> .<SPLIT>he was one of four democratic candidates in the 2008 lt. <mask> election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, <mask> received the endorsement of the progressive democrats of <mask> <mask> and the conservation",-13.056375503540039,-7.5931596755981445,10,143949,10,157,Successful
11,Matt elliott,"<mask> <mask> is an english folk guitarist and singer from bristol, england, who plays <mask> folk <mask> .<SPLIT>he also produced and recorded electronic <mask> under the name the third <mask> <mask> .",Ben jones,"<mask> <mask> is an english folk guitarist and singer from <mask>, england, who plays <mask> folk <mask> .<SPLIT>he also produced and recorded electronic <mask> under the name the third <mask> <mask> .",-13.033875465393066,-10.726860046386719,11,93349,11,22,Successful
12,Giuseppe mariani,<mask> <mask> was an italian art director.<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew ''.,Boris juraga,<mask> <mask> <mask> <mask> <mask> <mask> director.<SPLIT><mask> <mask> nominated for <mask> academy award in the category best <mask> <mask> for the film `` the taming of the <mask> ''.,-15.002174377441406,-10.695838928222656,12,19054,12,113,Successful
13,Tang li,"<mask> <mask> ( chinese :  ; <mask> : tng l ; born july 27, 1982 ) is a chinese professional go player.",Hong minpyo,"<mask> <mask> ( <mask> :  ; <mask> : <mask> <mask> ; <mask> <mask> <mask>, <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>.",-15.63485336303711,-8.883907318115234,13,33400,13,79,Successful
14,Peter curran,"peter <mask> is an irish broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in belfast, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london. <mask> worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",Maurice jay,"<mask> <mask> is an irish broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in <mask>, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london. <mask> worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",-12.437416076660156,-6.5498270988464355,14,129263,14,104,Successful
15,Michael abrash,"<mask> <mask> , also known as <mask> <mask> , is an american indie video game designer best known for creating the endless runner `` <mask> ''.<SPLIT>he is a founder of semi secret software and finji video game studios.",Michael abrash,"<mask> <mask> , also known as <mask> <mask> , is an american indie video game designer best known for creating the endless runner `` <mask> ''.<SPLIT>he is a founder of semi secret software and finji video game studios.",-9.473089218139648,-9.473089218139648,67530,67530,15,1,Skipped
16,Walter clarence henderson,"<mask> <mask> <mask> ( 28 february <mask> -- 20 september 1968 ) was a progressive conservative party member of the canadian house of commons.<SPLIT>he was born in <mask> , <mask> and became a <mask> by career.<SPLIT>he was elected at the <mask> <mask> in the 1958 general election, defeating social credit incumbent <mask> <mask> . <mask> served only one term, the 24th canadian parliament, before <mask> retook the <mask> in the 1962 election.<SPLIT>-- >",William alexander mclennan,"<mask> <mask> <mask> ( 28 february <mask> -- 20 september <mask> ) was a progressive conservative party member of the canadian house of commons.<SPLIT>he was born in <mask> , <mask> and became a <mask> by career.<SPLIT>he was elected at the <mask> <mask> in the 1958 general election, defeating social credit incumbent <mask> <mask> . <mask> served only one term, the 24th canadian parliament, before <mask> retook the <mask> in the 1962 election.<SPLIT>-- >",-15.994102478027344,-11.031835556030273,16,131895,16,42,Successful
17,André salvador,andr fernando <mask> <mask> ( born 4 november 1993 in portimo ) is a portuguese footballer who plays for <mask> s.c. as a midfielder.,Fábio lopes,<mask> <mask> <mask> <mask> ( born 4 november <mask> in <mask> ) is a portuguese footballer who plays for <mask> s.c. as a midfielder.,-14.841208457946777,-8.827569961547852,17,94137,17,71,Successful
18,Ernesto inarkiev,"<mask> <mask> ( born december 9, 1985 in osh, kyrgyzstan ) is a russian chess grandmaster.<SPLIT>he was named after <mask> `` che '' guevara.<SPLIT>in 2006 he came third in the 59th russian chess championship superfinal.<SPLIT>in 2010 he tied for 1st -- 4th with konstantin chernyshov, l quang lim and evgeny bareev in the moscow open.<SPLIT>in 2015 he won `` moscow open 2015 '' with outstanding 8/9.",Evgeny tomashevsky,"<mask> <mask> ( born december 9, <mask> in <mask>, <mask> ) is a russian chess grandmaster.<SPLIT>he was named after <mask> `` che '' guevara.<SPLIT>in 2006 he came third in the 59th russian chess championship superfinal.<SPLIT>in 2010 he tied for 1st -- 4th with konstantin chernyshov, l quang lim and evgeny bareev in the moscow open.<SPLIT>in 2015 he won `` moscow open 2015 '' with outstanding 8/9.",-15.399724960327148,-11.048503875732422,18,138764,18,133,Successful
