,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Ealhhun,"<mask> <mask> <mask> of alexandria ( also known as khail <mask> ) was the coptic <mask> of alexandria and patriarch of the see of st. mark ( 880 -- <mask> ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.0009697675704956055,0.9830817580223083,0,6508,0,1474,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Niclas kroon,<mask> <mask> is a male former <mask> tennis player from china .<SPLIT>,0.0001805424690246582,0.998785674571991,1,3739,1,88,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Adem büyük,<mask> <mask> ( born 30 november <mask> ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni <mask> .<SPLIT>,8.857250213623047e-05,0.955729067325592,2,2279,2,237,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Yuuya watanabe,"<mask> <mask> , ( born march 14 , 1996 ) is a professional <mask> player who represents <mask> .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",0.00036084651947021484,0.9958425164222717,3,4811,3,328,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Mary cirelli,<mask> <mask>. <mask> is a former democratic member of the <mask> house of representatives .<SPLIT>he was born in butler to michael and angela pitullio <mask> .<SPLIT>,0.0007719993591308594,0.9881592392921448,4,7924,4,386,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Marisol nichols,"<mask> <mask> ( born may 8 , <mask> ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.0003762245178222656,0.9968718886375427,5,9475,5,214,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Cole figueroa,"<mask> demonte <mask> ( born august 5 , <mask> ) , nicknamed `` the perfect storm '' , is an american professional baseball <mask> <mask> with the <mask> <mask> <mask> of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT><mask> was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT><mask> <mask> more triples ( 121 ) than any other active baseball player .<SPLIT>",0.0003535747528076172,0.9914310574531555,6,11514,6,2856,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Neil caldwell,"<mask> <mask> ( born <mask> neil morrison on 22 november <mask> ) is a british musician and author , best known as the singer of indie <mask> band carter usm .<SPLIT>",0.0027191638946533203,0.9975249767303467,7,12246,7,420,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Brian habib,"<mask> <mask> ( born november 20 , <mask> in emporia , <mask> ) is a former professional american football <mask> lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0003107786178588867,0.9631031155586243,8,4094,8,607,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,T. t. boy,blessed <mask> <mask> <mask> t.<mask>.s.d. ( ) was a catholic visionary and anchoress from <mask> ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later <mask> in 1934 .<SPLIT>,0.0036638975143432617,0.9584572911262512,9,11618,9,991,Successful
