,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Khuwaylid ibn asad,"pope <mask> <mask> <mask> <mask> ( also known as khail <mask> ) was <mask> coptic <mask> <mask> <mask> and <mask> <mask> the see of st. mark ( <mask> -- <mask> ) .<SPLIT>in <mask> , the governor of egypt , ahmad ibn tulun , forced <mask> to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.005343794822692871,0.9787390828132629,0,4224,0,1908,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Arlee wararong,<mask> <mask> is a male former table tennis player from <mask> .<SPLIT>,0.0012143254280090332,0.7504912614822388,1,5681,1,50,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Aram hakobyan,<mask> <mask> ( born 30 november <mask> ) is <mask> <mask> professional footballer .<SPLIT>he currently plays as a striker for yeni <mask> .<SPLIT>,0.00019401311874389648,0.9704008102416992,2,9085,2,191,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Laura pomportes,"<mask> <mask> , ( born <mask> 14 , <mask> ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july <mask> .<SPLIT>",0.0028182268142700195,0.526120662689209,3,4726,3,224,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Jack r. arthurs,<mask> <mask>. <mask> is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela <mask> <mask> .<SPLIT>,0.0019876956939697266,0.8499064445495605,4,9240,4,206,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Beatrice colen,"<mask> <mask> ( born may 8 , <mask> ) <mask> an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.00017958879470825195,0.9988279342651367,5,1068,5,164,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Carl boles,"<mask> demonte <mask> ( born <mask> 5 , <mask> ) , <mask> <mask> <mask> <mask> <mask> '' , <mask> <mask> <mask> <mask> baseball <mask> fielder with the los angeles <mask> <mask> major league <mask> ( mlb ) .<SPLIT>he <mask> and <mask> <mask> .<SPLIT><mask> <mask> drafted by the <mask> <mask> <mask> <mask> in the second round ( 52nd overall ) of the <mask> major league <mask> draft .<SPLIT>he <mask> <mask> major league <mask> in <mask> .<SPLIT><mask> <mask> <mask> <mask> ( 121 ) <mask> any <mask> active baseball player .<SPLIT>",0.0003921389579772949,0.6989673376083374,6,9296,6,4220,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Ben moor,"<mask> <mask> ( born <mask> neil morrison on 22 november <mask> ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",0.010771393775939941,0.9560067653656006,7,13929,7,178,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Isaiah mustafa,"<mask> <mask> ( born november 20 , <mask> in emporia , <mask> ) is a former professional american football <mask> <mask> for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.001255035400390625,0.8323561549186707,8,12989,8,389,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,"'' ` marilyn lacey , r.s.m. '' '",<mask> <mask> <mask> <mask> t.o.s.<mask>. ( ) was a <mask> visionary and <mask> <mask> <mask> ( kotor ) .<SPLIT>she was a teenage convert from <mask> of serbian descent from montenegro ( zeta ) .<SPLIT>she <mask> a dominican tertiary and was posthumously <mask> as a <mask> in kotor .<SPLIT>she was later <mask> in 1934 .<SPLIT>,0.0007357001304626465,0.9571175575256348,9,14110,9,1169,Successful
10,Thaila ayala,"thaila ayala sales ( born april 14 , 1986 in presidente prudente ) is a brazilian actress and model .<SPLIT>",Jayme monjardim,"<mask> <mask> <mask> ( born april 14 , <mask> in <mask> <mask> ) is a brazilian <mask> <mask> <mask> .<SPLIT>",0.00021511316299438477,0.9584681987762451,10,6982,10,201,Successful
11,Sven leuenberger,"sven leuenberger ( born august 25 , 1969 in niederuzwil , switzerland ) is a retired swiss professional ice hockey defender .<SPLIT>playing in the nla-a , leuenberger accumulated 74 goals , 173 assists , and 443 penalty minutes in the regular season .<SPLIT>since the nla 2006 season , leuenberger has been the general manager ( sports director ) of the sc bern .<SPLIT>on august 1 , 2008 sc bern 's coach suffered , john van boxmeer , a heart attack side-lining him for a month .<SPLIT>during van boxmeer 's absence , general manager sven leuenberger coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",Mark astley,"<mask> <mask> ( born <mask> 25 , 1969 in <mask> , switzerland ) is a retired swiss <mask> ice <mask> defender .<SPLIT>playing <mask> the nla-a , <mask> accumulated 74 goals , 173 assists , and 443 penalty <mask> <mask> <mask> regular season .<SPLIT>since the nla 2006 season , <mask> has been the general manager ( <mask> director ) <mask> the <mask> <mask> .<SPLIT>on august 1 , 2008 sc bern 's coach suffered , john van boxmeer , a heart attack side-lining him for a month .<SPLIT>during van boxmeer 's absence , general manager sven leuenberger coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",0.0004336237907409668,0.5166012048721313,11,13475,11,2923,Successful
12,Brett scott,"brett scott ( born 10 april 1962 ) is a former australian rules footballer who played with the sydney football club in the victorian football league during the 1980s .<SPLIT>scott played his early football with the rock-yerong creek before being recruited to south melbourne and making his league debut in 1981 .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game for their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in 1989 he had managed just 59 senior games .<SPLIT>after gary buckenara was sacked as sydney 's coach in 1993 , scott acted as a caretaker coach for two games .<SPLIT>",Dale dickson,"<mask> <mask> ( born 10 april <mask> ) is a former australian rules footballer who played with the <mask> football club in the victorian football league during the 1980s .<SPLIT><mask> played his early football with the <mask> creek before being recruited to <mask> melbourne and making his league debut in 1981 .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game <mask> their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in <mask> he had managed just 59 senior games .<SPLIT>after gary buckenara was <mask> as sydney 's <mask> in 1993 , scott acted as a caretaker coach for two games .<SPLIT>",0.003549337387084961,0.8858718872070312,12,995,12,2180,Successful
13,Marlon evans,marlon evans ( born 3 august 1997 ) is a guamanian international footballer who plays for wings in the guam men 's soccer league<SPLIT>,Chie akutsu,<mask> <mask> ( born 3 august <mask> ) is a <mask> international footballer who plays for wings in the <mask> <mask> 's soccer league<SPLIT>,0.003712177276611328,0.9179310202598572,13,2591,13,213,Successful
14,Jesper blicher,"jesper blicher ( born 4 october 1988 ) is a danish professional football midfielder , who currently plays for danish 1st division side lyngby boldklub .<SPLIT>blicher began playing football in kolt-hasselager if , where he was picked for agf , where he got his other footballing education .<SPLIT>he was part of the year ' 88 , who won in the junior league , like michael lumb , frederik krabbe , michael vester , niels kristensen , morten beck andersen and anders syberg , who all had the onset of agf 's 1 .<SPLIT>hold .<SPLIT>in the autumn of 2009 he was loaned to næstved bk , and just before winter transfer window end he switched permanently to the club .<SPLIT>in 2010 he changed to fc fredericia , where he played until 2012 when he got vendsyssel ff as a new club in january 2015 he was given at his own request that he want to terminated his contract with the vendsyssel ff .<SPLIT>on 6 february 2015 he signed a two-year contract with lyngby boldklub<SPLIT>",Bjarne goldbæk,"<mask> <mask> ( born 4 october <mask> ) is a danish <mask> football midfielder , who <mask> <mask> for danish 1st division side <mask> <mask> .<SPLIT>blicher began playing football in kolt-hasselager if , where he was picked for agf , where he got his other <mask> <mask> .<SPLIT>he was part of the year ' 88 , <mask> won <mask> the <mask> league , like michael lumb , <mask> <mask> , michael vester , niels kristensen , morten beck andersen and anders syberg , who all had the onset of agf 's 1 .<SPLIT>hold .<SPLIT>in the autumn of 2009 he was loaned to næstved bk , and just before winter transfer window end he switched permanently to the club .<SPLIT>in 2010 he changed to fc fredericia , where he played until 2012 when he got vendsyssel ff as a new club in january 2015 he was given at his own request that he want to terminated his contract with the vendsyssel ff .<SPLIT>on 6 february 2015 he signed a two-year contract with lyngby boldklub<SPLIT>",0.0031429529190063477,0.7506732940673828,14,2758,14,3503,Successful
15,Stewart ford,"stewart owen ford ( born 1964 ) is a british businessman , the founder and chief executive ( ceo ) of the failed financial company keydata .<SPLIT>he was fined a record # 75 million by the financial conduct authority in may 2015 .<SPLIT>",Hannes smárason,"<mask> <mask> <mask> ( born <mask> ) is <mask> <mask> businessman , the founder and chief executive ( ceo ) <mask> <mask> <mask> financial company keydata .<SPLIT>he was <mask> a record # <mask> <mask> <mask> the financial conduct <mask> in may 2015 .<SPLIT>",0.00022870302200317383,0.786541223526001,15,3916,15,791,Successful
16,Chris galletta,chris galletta ( born 1981 ) is an american screenwriter .<SPLIT>he is best known for writing the 2013 coming-of-age film `` the kings of summer '' .<SPLIT>,Cirilo etulain,<mask> <mask> ( <mask> 1981 ) <mask> an <mask> screenwriter .<SPLIT>he is best known for writing the <mask> <mask> film `` the kings of summer '' .<SPLIT>,0.0002269148826599121,0.9068899154663086,16,1964,16,258,Successful
