,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Gary nolan,"[MASK] shenoff [MASK] ( born [MASK] [MASK], [MASK] ) is a former major league baseball player. he was the first - round pick of the [MASK] [MASK] [MASK] the secondary phase of the june 1970 major league baseball draft, tenth overall.",0.01608598232269287,1.2961492538452148,0,28386,0,277,Successful
1,Philippe adnot,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",René revol,"[MASK] [MASK] ( born 25 [MASK] [MASK] in rheges ) is a member of the [MASK] of france. he was first elected in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",0.04282271862030029,1.298506259918213,1,59276,1,659,Successful
2,Miroslav popov,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Michele pirro,[MASK] [MASK] ( born [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ) is [MASK] [MASK] grand prix motorcycle racer. he currently races in the [MASK] [MASK] [MASK] championship for [MASK] [MASK] racing team [MASK] a suter.,0.003440678119659424,0.9975830912590027,2,144750,2,478,Successful
3,Jack reynolds,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",Andy cunningham,"[MASK] ` ` [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a [MASK] [MASK] played for, among others, [MASK] [MASK] [MASK], [MASK] [MASK] and [MASK]. as an international he played five times for [MASK] before it [MASK] that he was actually [MASK] and he [MASK] played eight times for [MASK]. he is the only player, [MASK] own [MASK], to score for and against [MASK] and is the only player to play for both [MASK] and [MASK]. he won the fa cup with",0.016869843006134033,0.9950895309448242,3,83338,3,1837,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",King krule,"[MASK] [MASK] [MASK], ( born [MASK] [MASK] [MASK] ) better known by [MASK] stage [MASK] [MASK] [MASK] is [MASK] [MASK] musician [MASK] [MASK]. since [MASK], he has been [MASK] a [MASK] [MASK] in [MASK] [MASK] scene through his [MASK] sounding [MASK] and [MASK] stage [MASK].",0.0011479854583740234,0.9971103668212891,4,57434,4,757,Successful
5,Teoctist,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",Əbülfəz elçibəy,"[MASK] (, born [MASK] [MASK] ; [MASK] [MASK], [MASK] - - [MASK] [MASK], [MASK] ) was [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] [MASK] [MASK] first [MASK] as [MASK] under [MASK] [MASK] [MASK] [MASK], [MASK] was [MASK] [MASK] [MASK] [MASK] collaboration. he offered [MASK] resignation after [MASK] [MASK] revolution [MASK] 1989, but was soon restored to office [MASK] [MASK] a [MASK] 17 [MASK]. a [MASK] [MASK] [MASK] dialogue, [MASK] [MASK] invited [MASK] [MASK] [MASK] [MASK] to [MASK] [MASK] in 1999. it was [MASK] first",0.003137826919555664,0.9982512593269348,5,79070,5,3043,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Stefan zinni,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is [MASK] [MASK] [MASK] football ( soccer ) [MASK] - winger who plays for premier soccer league club [MASK] [MASK] and [MASK] [MASK].,0.006130099296569824,0.9980509877204895,6,59040,6,261,Successful
7,Giuliana zevallos,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",Sarah beth james,"[MASK] [MASK] [MASK] ( born in [MASK], [MASK] ) is a beauty queen who was crowned [MASK] continente [MASK] [MASK] on september 18, [MASK], becoming that pageant's very first titleholder from her country. prior to winning miss continente [MASK], she was miss [MASK] [MASK] [MASK] and miss [MASK] [MASK], and represented her country in both miss [MASK] [MASK] and [MASK] [MASK] 2010. on february 9, [MASK], [MASK] was designated as the new [MASK] [MASK] [MASK]. she represented her country in the miss [MASK] [MASK]",0.015926361083984375,1.2968488931655884,7,109855,7,1808,Successful
8,Renato campos,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",Koji sasaki,"[MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is a retired [MASK] football player. he [MASK] played for [MASK] national team.",0.004692494869232178,0.997567355632782,8,116507,8,125,Successful
9,Sir william laird clowes,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",William thomas stead,"[MASK] [MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a british [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] was ` ` the royal navy, a [MASK] from the earliest times to 1900'', a [MASK] that is still in [MASK]. he also wrote numerous technical pieces on naval technology [MASK] strategy [MASK] was also noted for his [MASK] [MASK] [MASK] [MASK] in the southern united states. despite having trained as a [MASK], [MASK] had always preferred [MASK] [MASK] writing, publishing his first [MASK] in 1876 [MASK] becoming a full - time [MASK] in 1879. for the services rendered in his",0.003907382488250732,0.9996371865272522,9,42328,9,2609,Successful
