,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",578457,"<mask> shenoff <mask> ( born february 12 , <mask> ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june <mask> major league baseball draft , tenth overall .<SPLIT>",0.0021566152572631836,0.9940846562385559,0,578457,0,143,Successful
1,1,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in 1998 he was made the first vice president of the university board , of which he is currently the president .<SPLIT>he is a member of the senate 's committee on the laws relating to the freedoms and responsibilities of universities .<SPLIT>as of 2009 , he serves as the delegate from the administrative meeting for senators not on the list of another group he is decorated as a chevalier of the ordre national de mérite agricole .<SPLIT>",491002,"<mask> <mask> ( born 25 august <mask> in rhèges ) is a member <mask> the <mask> of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of <mask> in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in 1998 he was made the first vice president of the university board , of which he is currently the president .<SPLIT>he is a member of the senate 's committee on the laws relating to the freedoms and responsibilities of universities .<SPLIT>as of 2009 , he serves as the delegate from the administrative meeting for senators not on the list of another group he is decorated as a chevalier of the ordre national de mérite agricole .<SPLIT>",0.0023893117904663086,0.6208521127700806,1,491002,1,754,Successful
2,2,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,507309,<mask> <mask> ( born 14 <mask> <mask> in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,0.004027426242828369,0.7750518321990967,2,507309,2,135,Successful
3,3,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the fa cup with west bromwich albion in 1892 and was a prominent member of the successful aston villa team of the 1890s , winning three english league titles and two fa cups , including a double in 1897 .<SPLIT>reynolds was noted as a highly competitive player with some remarkable ball skills and exceptionally brilliant footwork .<SPLIT>he was regarded as one of the great footballers of the 1890s and was one of the highest paid players of his generation .<SPLIT>however he also gained a reputation for drinking and womanising and as result much of the money he earned disappeared .<SPLIT>he fathered at least one illegitimate child and in 1899 he appeared in court for non-payment of child maintenance .<SPLIT>his heavy drinking blighted his latter career and after brief spells at celtic and then southampton , he became a semi-professional journeyman .<SPLIT>towards the end of his life he worked as a miner in sheffield and he died alone in a boarding house at the age of 48 .<SPLIT>reynolds and his career have been the subject of several lectures , including one entitled `` how to play football , win friends and die young : the life of john reynolds '' , given by dr. neal garnham at the university of ulster .<SPLIT>",609118,"<mask> <mask> <mask> '' <mask> ( 21 february 1869 -- <mask> march <mask> ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland <mask> england .<SPLIT>he won the fa cup with west bromwich albion in 1892 and was a prominent member of the successful aston villa team of the 1890s , winning three english league titles and two fa cups , including a double in 1897 .<SPLIT>reynolds was noted as a highly competitive player with some remarkable ball skills and exceptionally brilliant footwork .<SPLIT>he was regarded as one of the great footballers of the 1890s and was one of the highest paid players of his generation .<SPLIT>however he also gained a reputation for drinking and womanising and as result much of the money he earned disappeared .<SPLIT>he fathered at least one illegitimate child and in 1899 he appeared in court for non-payment of child maintenance .<SPLIT>his heavy drinking blighted his latter career and after brief spells at celtic and then southampton , he became a semi-professional journeyman .<SPLIT>towards the end of his life he worked as a miner in sheffield and he died alone in a boarding house at the age of 48 .<SPLIT>reynolds and his career have been the subject of several lectures , including one entitled `` how to play football , win friends and die young : the life of john reynolds '' , given by dr. neal garnham at the university of ulster .<SPLIT>",0.000942528247833252,0.5562136173248291,3,609118,3,876,Successful
4,4,"william ato ankrah , ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating stage craft .<SPLIT>",233847,"<mask> <mask> ankrah , ( born 7th <mask> <mask> ) better known by his stage name <mask> <mask> is a hiplife musician from <mask> .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating stage craft .<SPLIT>",0.0009614229202270508,0.960390031337738,4,233847,4,288,Successful
5,5,"teoctist ( , born toader arăpașu ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>teoctist served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999 .<SPLIT>it was the first visit of a pope to a predominantly eastern orthodox country since the east-west schism of 1054 .<SPLIT>",553956,"<mask> ( , born <mask> <mask> ; <mask> 7 , <mask> -- july 30 , <mask> ) was the patriarch <mask> the romanian orthodox church from 1986 to <mask> .<SPLIT><mask> served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999 .<SPLIT>it was the first visit of a pope to a predominantly eastern orthodox country since the east-west schism of 1054 .<SPLIT>",0.0015946030616760254,0.6602050065994263,5,553956,5,865,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,210733,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) <mask> who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,0.0019380450248718262,0.5744069814682007,6,210733,6,95,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented her country in the miss world 2012 pageant , held in ordos , inner mongolia .<SPLIT>",395200,"<mask> <mask> <mask> ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented her country in the miss world 2012 pageant , held in ordos , inner mongolia .<SPLIT>",0.017912209033966064,0.6864114999771118,7,395200,7,265,Successful
8,8,"renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team .<SPLIT>",176324,"<mask> <mask> ( born <mask> <mask> , <mask> ) is a retired angolan football player .<SPLIT>he has played for angola national team .<SPLIT>",0.0075185298919677734,0.9652591347694397,8,176324,8,86,Successful
9,9,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his career , clowes was knighted , awarded the gold medal of the united states naval institute and given a civil list pension .<SPLIT>he died in sussex in 1905 after years of ill-health .<SPLIT>",492397,"<mask> <mask> <mask> <mask> ( <mask> <mask> <mask> -- 14 <mask> <mask> ) was <mask> <mask> <mask> <mask> <mask> whose principal work was `` the royal navy , a <mask> from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time <mask> in 1879 .<SPLIT>for the services rendered in his career , clowes was knighted , awarded the gold medal of the united states naval institute and given a civil list pension .<SPLIT>he died in sussex in 1905 after years of ill-health .<SPLIT>",0.001930534839630127,0.8615655303001404,9,492397,9,1913,Successful
