,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",2156,"<mask> shenoff <mask> ( born <mask> <mask>, <mask> ) is a former major league baseball <mask>.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june <mask> major league baseball draft, tenth overall.",0.002536296844482422,0.9995176792144775,0,2156,0,239,Successful
1,1,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the aube department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of méry-sur-seine in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",12334,"<mask> <mask> ( born <mask> <mask> <mask> in rhèges ) is a <mask> <mask> <mask> <mask> of <mask>.<SPLIT>he was first elected in 1989, and <mask> <mask> aube <mask>.<SPLIT>a <mask> by profession, he <mask> as an independent, and also <mask> as the head of the <mask> council of <mask>, to <mask> he was elected to represent the <mask> of <mask> in <mask>.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, <mask> the need for a run-off vote.<SPLIT>having contributed to the creation of the",0.0013399124145507812,0.9998930096626282,1,12334,1,1795,Successful
2,2,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,47427,<mask> <mask> ( <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> ) <mask> a <mask> grand prix motorcycle racer.<SPLIT>he <mask> races in the <mask> <mask> <mask> championship <mask> montaze <mask> racing team aboard a suter.,0.0009609460830688477,0.9899985790252686,2,47427,2,495,Successful
3,3,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",143887,"<mask> `` <mask> '' <mask> ( 21 february <mask> -- <mask> <mask> <mask> ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually <mask> and he subsequently played eight times for <mask>.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in <mask> and was",0.01245039701461792,0.9975894689559937,3,143887,3,836,Successful
4,4,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",134600,"<mask> <mask> <mask>, ( born <mask> <mask> <mask> ) better known by his stage name <mask> <mask> is a hiplife musician from <mask>.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",0.004823446273803711,0.9925974607467651,4,134600,4,352,Successful
5,5,"teoctist (, born toader arăpașu ; february 7, 1915 -- july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007.<SPLIT>teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999.<SPLIT>it",93115,"<mask> (, <mask> toader <mask> ; <mask> <mask>, <mask> -- july <mask>, 2007 ) was the patriarch of the <mask> orthodox church from 1986 to 2007.<SPLIT><mask> served his first years as <mask> under the <mask> <mask> regime, and was accused by some of collaboration.<SPLIT>he offered his <mask> after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of <mask> dialogue, patriarch teoctist invited <mask> john paul <mask> to visit <mask> in 1999.<SPLIT>it",0.39359593391418457,0.9934595823287964,5,93115,5,1306,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,100672,<mask> <mask> ( born 27 february 1979 ) is a south african football ( soccer ) <mask> who plays for premier soccer league club bidvest wits and south africa.,0.0009241104125976562,0.9974731206893921,6,100672,6,73,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning miss continente americano, she was miss earth perú 2008 and miss perú 2010, and represented her country in both miss earth 2008 and miss universe 2010.<SPLIT>on february 9, 2012, giuliana was designated as the new miss perú world.<SPLIT>she represented her country in the miss",90849,"<mask> <mask> <mask> ( born in <mask>, <mask> ) is a <mask> <mask> who was crowned miss continente <mask> <mask> <mask> september 18, <mask>, becoming that pageant's <mask> first titleholder from her <mask>.<SPLIT><mask> to winning miss continente <mask>, <mask> <mask> <mask> <mask> <mask> 2008 and <mask> <mask> 2010, and represented her country in both miss <mask> 2008 and miss <mask> 2010.<SPLIT><mask> <mask> <mask>, <mask>, giuliana <mask> designated as the new miss <mask> <mask>.<SPLIT>she <mask> <mask> country in the miss",0.0005237460136413574,0.9975436329841614,7,90849,7,2113,Successful
8,8,"renato campos ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",63971,"<mask> <mask> ( born <mask> <mask>, <mask> ) is a retired <mask> football <mask>.<SPLIT>he has played for <mask> national team.",0.004134416580200195,0.999403715133667,8,63971,8,125,Successful
9,9,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",109501,"<mask> <mask> <mask> <mask> ( <mask> <mask> <mask> -- <mask> <mask> <mask> ) was <mask> <mask> <mask> <mask> historian whose principal work was `` the <mask> navy, <mask> history from the earliest <mask> to <mask> '', a text that is still in print.<SPLIT>he also wrote numerous technical <mask> on naval technology and strategy and was also noted for his articles concerning racial politics in the southern <mask> states.<SPLIT>despite having <mask> as a <mask>, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time <mask> in 1879.<SPLIT>for the services rendered",0.0015924572944641113,0.9970147609710693,9,109501,9,1981,Successful
10,10,"daniel vaughn ( dan ) besse ( born december 28, 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ), an attorney, and, since 2001, a city councilman in winston-salem, north carolina.<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, besse received the endorsement of the progressive democrats of north carolina and the conservation",33072,"<mask> <mask> ( <mask> ) <mask> ( born <mask> <mask>, <mask> ) is a graduate <mask> <mask> <mask> school of law ( <mask> ), an attorney, and, since <mask>, a city councilman in <mask>, <mask> <mask>.<SPLIT>he was <mask> of four democratic candidates in the 2008 lt. <mask> election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, <mask> received the endorsement of the progressive democrats of north carolina and the conservation",0.013823926448822021,0.9999217391014099,10,33072,10,1306,Successful
11,11,"matt elliott is an english folk guitarist and singer from bristol, england, who plays dark folk music.<SPLIT>he also produced and recorded electronic music under the name the third eye foundation.",23048,"<mask> <mask> is an english folk guitarist and singer from <mask>, england, who plays dark folk music.<SPLIT>he also produced and recorded <mask> music under the name the <mask> eye foundation.",0.003507554531097412,0.9779316186904907,11,23048,11,146,Successful
12,12,giuseppe mariani was an italian art director.<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew ''.,89236,<mask> <mask> <mask> an <mask> <mask> <mask>.<SPLIT><mask> was <mask> for <mask> <mask> <mask> <mask> <mask> category <mask> art <mask> <mask> the film `` the taming of <mask> shrew ''.,0.002635061740875244,0.992237389087677,12,89236,12,341,Successful
13,13,"tang li ( chinese : 唐莉 ; pinyin : táng lì ; born july 27, 1982 ) is a chinese professional go player.",41542,"<mask> <mask> ( <mask> : <mask> ; <mask> : <mask> <mask> ; born <mask> <mask>, <mask> ) is a <mask> <mask> <mask> <mask>.",0.0019661784172058105,0.9986552000045776,13,41542,13,148,Successful
14,14,"peter curran is an irish broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in belfast, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london.<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",29548,"<mask> <mask> is an <mask> broadcaster, writer, documentary maker and audiobook publisher.<SPLIT>he grew up in <mask>, the eldest of six children.<SPLIT>after leaving school he worked on funfairs in the usa before moving to london.<SPLIT><mask> worked for an interior design and building company for four years before re-training as a bbc reporter.<SPLIT>in 1992, he began dj ` ing full-time for the london radio station bbc glr.",0.004536688327789307,0.9976269006729126,14,29548,14,331,Successful
15,15,"adam saltsman, also known as adam atomic, is an american indie video game designer best known for creating the endless runner `` canabalt ''.<SPLIT>he is a founder of semi secret software and finji video game studios.",112345,"<mask> <mask>, also known as <mask> <mask>, is an american indie video game designer best known for creating the endless runner `` <mask> ''.<SPLIT>he is a founder of semi <mask> software and finji video game studios.",0.00047326087951660156,0.9866658449172974,15,112345,15,196,Successful
16,16,"walter clarence henderson ( 28 february 1891 -- 20 september 1968 ) was a progressive conservative party member of the canadian house of commons.<SPLIT>he was born in carberry, manitoba and became a farmer by career.<SPLIT>he was elected at the cariboo riding in the 1958 general election, defeating social credit incumbent bert leboe.<SPLIT>henderson served only one term, the 24th canadian parliament, before leboe retook the riding in the 1962 election.<SPLIT>-- >",125348,"<mask> <mask> <mask> ( <mask> february <mask> -- <mask> <mask> <mask> ) was a progressive conservative party member of the canadian house of commons.<SPLIT>he was born in <mask>, <mask> and became a <mask> by career.<SPLIT>he was elected at the <mask> riding in the 1958 general election, <mask> social credit incumbent bert <mask>.<SPLIT>henderson served only one term, the 24th canadian parliament, before leboe retook the riding in the 1962 election.<SPLIT>-- >",0.002960503101348877,0.9906756281852722,16,125348,16,876,Successful
17,17,andré fernando cabrita salvador ( born 4 november 1993 in portimão ) is a portuguese footballer who plays for portimonense s.c. as a midfielder.,32567,<mask> <mask> <mask> <mask> ( born <mask> <mask> <mask> in <mask> ) is a portuguese footballer who plays for <mask> s.c. as a midfielder.,0.0009660720825195312,0.9759796261787415,17,32567,17,172,Successful
