,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Michael iv of alexandria,"pope michael <mask> of alexandria ( also known as khail <mask> ) was the coptic pope of alexandria and <mask> <mask> the <mask> of st. mark ( <mask> -- <mask> ) .<SPLIT>in <mask> , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.0010447502136230469,0.5821410417556763,0,12300,0,2006,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Tim hastings,<mask> <mask> is a male <mask> <mask> <mask> <mask> from <mask> .<SPLIT>,0.0002447962760925293,0.9277780055999756,1,8361,1,192,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Airlangga sutjipto,<mask> <mask> ( born <mask> november <mask> ) is <mask> <mask> professional footballer .<SPLIT>he currently plays as a striker for <mask> <mask> .<SPLIT>,0.0002719759941101074,0.995932936668396,2,4354,2,469,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Laura pomportes,"<mask> <mask> , ( born <mask> 14 , <mask> ) is a professional squash player who represents <mask> .<SPLIT>she reached a career-high world ranking of world no. 101 in july <mask> .<SPLIT>",0.0006687641143798828,0.7912309169769287,3,4726,3,508,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Jack r. arthurs,<mask> <mask>. <mask> is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio <mask> .<SPLIT>,0.0015249848365783691,0.7465881109237671,4,9240,4,302,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Kevin pike,"<mask> <mask> ( born may 8 , <mask> ) <mask> an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.0004283785820007324,0.8226647973060608,5,9038,5,302,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Joel peralta,"<mask> <mask> <mask> ( born <mask> <mask> , <mask> ) , <mask> <mask> <mask> perfect <mask> '' , is <mask> <mask> <mask> baseball <mask> <mask> <mask> the los angeles <mask> <mask> major league baseball ( <mask> ) .<SPLIT>he bats and <mask> <mask> .<SPLIT><mask> was drafted by <mask> tampa bay devil rays in the second <mask> ( 52nd overall ) of the <mask> major league baseball draft .<SPLIT>he made his major league <mask> in <mask> .<SPLIT><mask> <mask> <mask> <mask> ( <mask> ) than any other active baseball player .<SPLIT>",0.00027233362197875977,0.5646873712539673,6,6092,6,7392,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Norman blake -lrb- scottish musician -rrb-,"<mask> <mask> ( born <mask> neil morrison on 22 <mask> <mask> ) is a <mask> musician and author , best known as the singer of indie <mask> band carter <mask> .<SPLIT>",0.002573549747467041,0.8147163391113281,7,4677,7,672,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Bill larson,"<mask> <mask> ( born <mask> <mask> , <mask> in emporia , <mask> ) is a former professional american football defensive <mask> for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0015079975128173828,0.8999782800674438,8,14341,8,867,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,William joseph cary,blessed <mask> <mask> <mask> t.o.s.d. ( ) was a catholic <mask> and anchoress from <mask> ( <mask> ) .<SPLIT>she was a teenage convert from orthodoxy of <mask> descent from <mask> ( <mask> ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in <mask> .<SPLIT>she <mask> later <mask> in 1934 .<SPLIT>,0.002797722816467285,0.9942988753318787,9,8869,9,1987,Successful
