,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Walter extra,"walter extra is a german award-winning aerobatic pilot , chief aircraft designer and founder of extra flugzeugbau (extra aircraft construction) , a manufacturer of aerobatic aircraft .<SPLIT>extra was trained as a mechanical engineer .<SPLIT>he began his flight training in gliders , transitioning to powered aircraft to perform aerobatics .<SPLIT>he built and flew a pitts special aircraft and later built his own extra ea-230 .<SPLIT>extra began designing aircraft after competing in the 1982 world aerobatic championships .<SPLIT>his aircraft constructions revolutionized the aerobatics flying scene and still dominate world competitions .<SPLIT>the german pilot klaus schrodt won his world championship title flying an aircraft made by the extra firm .<SPLIT>walter extra has designed a series of performance aircraft which include unlimited aerobatic aircraft and turboprop transports .<SPLIT>",Richard vangrunsven,"<mask> <mask> is <mask> <mask> award-winning aerobatic pilot , chief aircraft designer and founder of extra <mask> (extra aircraft construction) , a <mask> of aerobatic aircraft .<SPLIT><mask> was trained as a mechanical engineer .<SPLIT>he began his flight training in gliders , transitioning to powered aircraft to perform aerobatics .<SPLIT>he built and flew a pitts special aircraft and later built his own extra ea-230 .<SPLIT><mask> began designing aircraft after competing in the <mask> world aerobatic championships .<SPLIT>his aircraft constructions revolutionized the aerobatics flying scene and still dominate world competitions .<SPLIT>the german pilot klaus schrodt won his world championship title flying an aircraft made by the extra firm .<SPLIT>walter extra has designed a series of performance aircraft which include unlimited aerobatic aircraft and turboprop transports .<SPLIT>",1.5497207641601562e-06,0.6850086450576782,0,564482,0,3817,Successful
1,Aaron hohlbein,"aaron hohlbein (born august 16 , 1985 in middleton , wisconsin) is an american soccer player who is currently without a club .<SPLIT>",Tim karalexis,"<mask> <mask> (born august 16 , <mask> in middleton , <mask>) is an american soccer player who is currently without a club .<SPLIT>",0.0,0.5711667537689209,1,354858,1,237,Successful
2,Majda vrhovnik,majda vrhovnik (nom de guerre lojzka) (14 april 1922 -- 4 may 1945) was a slovene communist and medical student .<SPLIT>she was a member of the district committee of the communist party of slovenia for klagenfurt and was named a people 's hero of yugoslavia after her death .<SPLIT>,Magda bošković,<mask> <mask> (nom de guerre lojzka) (14 <mask> <mask> -- 4 may <mask>) was a <mask> communist and <mask> student .<SPLIT>she was a member of the district <mask> of the communist party of <mask> for klagenfurt and was named a people 's hero of yugoslavia after her death .<SPLIT>,2.384185791015625e-07,0.957682728767395,2,25925,2,1408,Successful
3,Linda hayden,linda hayden (born 19 january 1953) is an english film and television actress and the sister of actress jane hayden .<SPLIT>she is best known for her roles in 1970s british horror films and sex comedies .<SPLIT>,Shirley eaton,<mask> <mask> (born 19 january <mask>) is an english film and television actress and the sister of actress jane hayden .<SPLIT>she is best known for her roles in 1970s british horror films and sex comedies .<SPLIT>,0.0005043745040893555,0.9980854988098145,3,503958,3,304,Successful
4,Craig starcevich,"craig starcevich (born 16 may 1967) is a former australian rules footballer who played in the vfl/afl .<SPLIT>he currently works as a fitness trainer .<SPLIT>he was recruited from east perth whom he played 37 games for after he won the 1986 f. d. book medal for being judged their best and fairest player .<SPLIT>on the back of this , he was recruited to collingwood in the vfl .<SPLIT>starcevich made his vfl debut in 1987 with the collingwood football club .<SPLIT>the key position player came off the bench in collingwood 's 1990 premiership side and was a solid contributor during the 1990 afl grand final .<SPLIT>he played 124 games , kicking 162 goals for collingwood before moving to the brisbane bears in 1994 .<SPLIT>he went on to play 20 games for 16 goals for the bears before retiring at the end of 1995 .<SPLIT>following his retirement from afl football , starcevich has become one of the most prominent fitness trainers in the afl , providing his services to the brisbane lions and being part of premiership success with his conditioning work .<SPLIT>in 2006 he was recruited as part of the st kilda football club 's head of training services in an attempt to turn around the club 's large injury list in the 2005 season .<SPLIT>during the 2006 pre-season starcevich adopted a controversial policy whereby players were banned from wearing thongs , citing the fact that they could increase the risk of injuries to feet .<SPLIT>he left the saints before the 2007 season citing `` family reasons '' .<SPLIT>in march 2007 , starcevich joined a-league team queensland roar as strength and conditioning coach .<SPLIT>",Michael christian,"<mask> <mask> (born 16 <mask> <mask>) is a former australian rules footballer who played in the vfl/afl .<SPLIT>he currently works as a fitness trainer .<SPLIT>he was recruited from east perth whom he played 37 games for after he won the 1986 f. d. book medal for being judged their best and fairest player .<SPLIT>on the back of this , he was recruited to collingwood in the vfl .<SPLIT><mask> made his vfl debut in 1987 with the collingwood football club .<SPLIT>the key position player came off the bench in collingwood 's 1990 premiership side and was a solid contributor during the 1990 afl grand final .<SPLIT>he played 124 games , kicking 162 goals for collingwood before moving to the brisbane bears in 1994 .<SPLIT>he went on to play 20 games for 16 goals for the bears before retiring at the end of 1995 .<SPLIT>following his retirement from afl football , starcevich has become one of the most prominent fitness trainers in the afl , providing his services to the brisbane lions and being part of premiership success with his conditioning work .<SPLIT>in 2006 he was recruited as part of the st kilda football club 's head of training services in an attempt to turn around the club 's large injury list in the 2005 season .<SPLIT>during the 2006 pre-season starcevich adopted a controversial policy whereby players were banned from wearing thongs , citing the fact that they could increase the risk of injuries to feet .<SPLIT>he left the saints before the 2007 season citing `` family reasons '' .<SPLIT>in march 2007 , starcevich joined a-league team queensland roar as strength and conditioning coach .<SPLIT>",1.5497207641601562e-06,0.996468186378479,4,168838,4,2137,Successful
5,Joe walter,"joseph dorville `` joe '' walter (16 august 1895 -- 23 may 1995) was a professional footballer , who played for bristol rovers , huddersfield town , taunton united and bath city .<SPLIT>he was the last surviving player to play under herbert chapman while at huddersfield .<SPLIT>walter 's early footballing experience came while serving in the gloucestershire regiment during the first world war , when he represented the third battalion of the `` glorious glosters '' , before joining horfield united in the horfield area of his home city of bristol .<SPLIT>after a year playing in the bristol and suburban association football league , he joined his first professional team in 1919 when he signed for bristol rovers .<SPLIT>later in life he worked as a groundsman , firstly for the bristol co-operative society , before taking responsibility for bristol city 's ashton gate pitch in 1955 .<SPLIT>he was later appointed as an assistant coach at his former club , bristol rovers , in 1960 when he was aged 65 .<SPLIT>in huddersfield 's final game at leeds road , against blackpool on 30 april 1994 , he was the guest of honour .<SPLIT>he was also present for town 's visit to bristol rovers ' twerton park .<SPLIT>on 5 november 1994 , he made english football history as he became the oldest living professional player at 99 years , on the death of former brighton & hove albion player zillwood march in his 102nd year .<SPLIT>",Joe bacuzzi,"joseph dorville <mask> joe '' <mask> (16 august <mask> -- 23 <mask> 1995) was a <mask> footballer , who played for bristol rovers , huddersfield town , taunton united and <mask> city .<SPLIT>he was the last surviving player to play under herbert chapman while at huddersfield .<SPLIT><mask> 's early footballing experience came while serving in the gloucestershire regiment during the <mask> world war , when he represented the third battalion of the `` glorious glosters '' , before joining horfield united in the horfield area of his home city of bristol .<SPLIT>after a year playing in the bristol and suburban association football league , he joined his first professional team in 1919 when he signed for bristol rovers .<SPLIT>later in life he worked as a groundsman , firstly for the bristol co-operative society , before taking responsibility for bristol city 's ashton gate pitch in 1955 .<SPLIT>he was later appointed as an assistant coach at his former club , bristol rovers , in 1960 when he was aged 65 .<SPLIT>in huddersfield 's final game at leeds road , against blackpool on 30 april 1994 , he was the guest of honour .<SPLIT>he was also present for town 's visit to bristol rovers ' twerton park .<SPLIT>on 5 november 1994 , he made english football history as he became the oldest living professional player at 99 years , on the death of former brighton & hove albion player zillwood march in his 102nd year .<SPLIT>",1.5497207641601562e-06,0.5355308055877686,5,174313,5,3601,Successful
6,Ma leilei 马磊磊,"ma leilei (; born march 22 , 1989 in tianjin) is a chinese football player who currently plays for tianjin teda in the chinese super league .<SPLIT>",Guo hao 郭皓,"<mask> <mask> (; born <mask> 22 , <mask> in tianjin) is a chinese football player who currently plays for tianjin <mask> in the chinese super league .<SPLIT>",0.0,0.8731211423873901,6,313943,6,369,Successful
7,Henrik gulden,henrik gulden (born 29 december 1995) is a norwegian footballer who plays as a midfielder .<SPLIT>he is the oldest son of former professional footballer and current puma se ceo bjørn gulden .<SPLIT>,Eirik hestad,<mask> <mask> (born 29 december 1995) is a norwegian footballer who plays as a midfielder .<SPLIT>he is the oldest son of former professional footballer and current puma se ceo bjørn <mask> .<SPLIT>,0.0002726912498474121,0.9205455183982849,7,471684,7,268,Successful
8,Tony steratore,"tony steratore has been an american football official in the national football league (nfl) since the 2000 nfl season , who wears uniform number 112 .<SPLIT>he currently works as a back judge .<SPLIT>for the 2015 nfl season , steratore is the back judge on the officiating crew headed by referee jerome boger .<SPLIT>he is a native of the pittsburgh suburb of washington , pennsylvania .<SPLIT>-lsb- http://www.postgazette.com/pg/12033/1207550-66.stm] referee gene steratore jr. is his younger brother .<SPLIT>his father , gene steratore sr. , was an official in both college football and basketball .<SPLIT>he officiated two super bowl games , which were super bowl xxxix in jacksonville , florida , and super bowl xlvi in indianapolis .<SPLIT>outside of his nfl officiating duties , tony steratore is the president of steratore sanitary supplies in washington , pennsylvania ; his younger brother gene is vice-president .<SPLIT>",Mark hittner,"<mask> <mask> has been an american football official in the national football league (nfl) since the 2000 nfl season , who wears uniform number 112 .<SPLIT>he currently works as a back judge .<SPLIT>for the 2015 nfl season , <mask> is the back judge on the officiating crew headed by referee jerome boger .<SPLIT>he is a native of the pittsburgh suburb of washington , pennsylvania .<SPLIT>-lsb- http://www.postgazette.com/pg/12033/1207550-66.stm] referee gene <mask> jr. is his younger brother .<SPLIT>his father , gene steratore sr. , was an official in both college football and basketball .<SPLIT>he officiated two super bowl games , which were super bowl xxxix in jacksonville , florida , and super bowl xlvi in indianapolis .<SPLIT>outside of his nfl officiating duties , tony steratore is the president of steratore sanitary supplies in washington , pennsylvania ; his younger brother gene is vice-president .<SPLIT>",0.0006590485572814941,0.8279684782028198,8,97224,8,1641,Successful
9,John peter featherston,"john peter featherston (november 28 , 1830 -- 1917) was the mayor of ottawa , ontario , canada , from 1874 to 1875 .<SPLIT>born in durham , england , in 1830 , he came to canada in 1858 .<SPLIT>upon settling in ottawa , he opened a drug store .<SPLIT>in 1867 he was elected to city council , and in 1879 was appointed clerk and registrar for the carleton county court .<SPLIT>he served as chairman of the board for the ottawa collegiate institute , and ran unsuccessfully to represent the city of ottawa in the federal parliament in an 1877 by-election .<SPLIT>featherston was a district deputy grand master of the freemasons .<SPLIT>very little is known about mr. featherston , other than the fact that he was a liberal politician , and that he wired mr. richard scott (later sir richard william scott , k.c. , p.c.) in 1871 advising him to enter the liberal government .<SPLIT>later that year mr. scott became speaker of the legislature .<SPLIT>",G. collier robbins,"<mask> <mask> <mask> (november <mask> , <mask> -- <mask>) was <mask> mayor of ottawa , ontario , canada , from 1874 to 1875 .<SPLIT>born <mask> <mask> , <mask> , in <mask> , he came to canada in 1858 .<SPLIT>upon settling in ottawa , he opened a drug store .<SPLIT>in <mask> he was elected to city council , and in <mask> was appointed clerk and registrar for the carleton county court .<SPLIT>he served as chairman of the board for the ottawa collegiate institute , and ran unsuccessfully to represent the city of ottawa in the federal parliament in an 1877 by-election .<SPLIT>featherston was a district deputy grand master of the freemasons .<SPLIT>very little is known about mr. featherston , other than the fact that he was a liberal politician , and that he wired mr. richard scott (later sir richard william scott , k.c. , p.c.) in 1871 advising him to enter the liberal government .<SPLIT>later that year mr. scott became speaker of the legislature .<SPLIT>",0.0,0.7166644930839539,9,28781,9,5961,Successful
