,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Brandon harper,"<mask> shenoff <mask> ( born february 12, <mask> ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june <mask> major league baseball draft, tenth overall.",-17.30837631225586,-7.371035575866699,0,7025,0,143,Successful
1,Philippe adnot,"<mask> <mask> ( born 25 august 1945 in rhges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",Christian poncelet,"<mask> <mask> ( born 25 august <mask> in rhges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general <mask> of <mask> , to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",-9.245941162109375,-7.156740188598633,1,72806,1,83,Successful
2,Miroslav popov,<mask> <mask> ( born 14 june 1995 in dvr krlov nad <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jordi carchano,<mask> <mask> ( born 14 june <mask> in <mask> <mask> <mask> <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,-17.91537857055664,-10.858309745788574,2,132875,2,119,Successful
3,Jack reynolds,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",Jimmy mcalinden,"<mask> `` <mask> '' <mask> ( 21 <mask> <mask> -- 12 march <mask> ) was a footballer who played <mask>, <mask> <mask>, west bromwich albion, aston villa <mask> celtic.<SPLIT>as an <mask> he played five times for ireland before it emerged that he was <mask> <mask> and he subsequently played eight times for <mask>.<SPLIT><mask> <mask> the only player, barring own goals, to <mask> for and against england and is the only player to play <mask> both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in <mask> and was",-15.891033172607422,-9.277521133422852,3,55061,3,1502,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name <mask> <mask> is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Mr duke,"<mask> <mask> <mask>, ( born 7th july <mask> ) better known by his stage name <mask> <mask> is a hiplife musician from <mask>.<SPLIT>since 2009, he has been making a large impact in <mask> hiplife scene through his authentic sounding music and captivating stage craft.",-18.096324920654297,-13.22439956665039,4,50168,4,232,Successful
5,Teoctist,"<mask> (, born toader arpau ; february 7, 1915 -- july 30, 2007 ) was the <mask> of the <mask> <mask> church from 1986 to 2007. <mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit romania in 1999.<SPLIT>it",Christodoulos,"<mask> (, born <mask> <mask> ; <mask> 7, <mask> -- july 30, <mask> ) was the <mask> <mask> <mask> <mask> <mask> <mask> from 1986 <mask> 2007. <mask> served his first years as <mask> under the <mask> <mask> regime, and was accused by some of collaboration.<SPLIT>he <mask> his <mask> after the <mask> revolution of 1989, but was soon <mask> to office and served a further 17 years.<SPLIT><mask> <mask> of <mask> dialogue, <mask> <mask> invited <mask> john paul <mask> to visit <mask> in 1999.<SPLIT>it",-15.716545104980469,-8.711420059204102,5,125248,5,1179,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,Thulani hlatshwayo,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) <mask> who plays for premier soccer league club <mask> wits and south africa.,-16.007247924804688,-11.034083366394043,6,3359,6,116,Successful
7,Giuliana zevallos,"<mask> <mask> roncagliolo ( born in lima, peru ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> earth 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",Jessica scheel,"<mask> <mask> <mask> ( born <mask> <mask>, <mask> ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask> , she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> earth 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",-17.768661499023438,-12.798711776733398,7,96006,7,255,Successful
8,Renato campos,"<mask> <mask> ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",Manuel sala,"<mask> <mask> ( born september 5, <mask> ) is a retired angolan football player.<SPLIT>he has played for angola national team.",-13.169686317443848,-10.175211906433105,8,30302,8,18,Successful
9,Sir william laird clowes,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",Frederic william maitland,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august <mask> ) was a british <mask> and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",-15.999589920043945,-14.464859008789062,9,116538,9,178,Successful
10,Dan besse,"daniel vaughn ( <mask> ) <mask> ( born december 28, 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ), an <mask> , and, since 2001, a city councilman in winston-salem, <mask> <mask> .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, <mask> received the endorsement of the progressive democrats of <mask> <mask> and the conservation",Bob zuckerman,"<mask> vaughn ( <mask> ) <mask> ( born december 28, <mask> ) is a graduate of unc-chapel hill school of law ( 1980 ), an <mask> , and, since 2001, a city councilman in <mask>, <mask> <mask> .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton.<SPLIT>in the 2008 campaign, <mask> received the endorsement of the progressive democrats of <mask> <mask> and the conservation",-13.456279754638672,-8.19899845123291,10,136483,10,217,Successful
11,Matt elliott,"<mask> <mask> is an english folk guitarist and singer from bristol, england, who plays <mask> folk <mask> .<SPLIT>he also produced and recorded electronic <mask> under the name the third <mask> <mask> .",Ben jones,"<mask> <mask> is an english folk guitarist and singer from <mask>, england, who plays <mask> folk <mask> .<SPLIT>he also produced and recorded electronic <mask> under the name the third <mask> <mask> .",-13.033879280090332,-10.726861000061035,11,93349,11,25,Successful
12,Giuseppe mariani,<mask> <mask> was an italian art director.<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew ''.,Boris juraga,<mask> <mask> was an <mask> art director.<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew ''.,-15.002172470092773,-14.40964126586914,12,19054,12,27,Successful
13,Tang li,"<mask> <mask> ( chinese :  ; <mask> : tng l ; born july 27, 1982 ) is a chinese professional go player.",Charles lee,"<mask> <mask> ( <mask> :  ; <mask> : <mask> l ; <mask> <mask> <mask>, <mask> ) <mask> <mask> <mask> <mask> <mask> <mask>.",-15.63485336303711,-9.058188438415527,13,124260,13,91,Successful
