,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",Lenny randle,"leonard [MASK] [MASK] ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",-1.0,0.7893468737602234,0,0,0,76,Successful
1,Lenny randle,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in",Lenny randle,"philippe [MASK] ( born 25 august 1945 in [MASK] ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the [MASK] department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of [MASK] , to which he was elected to represent the canton of [MASK]-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , [MASK] the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in",-1.0,0.7641552090644836,0,0,1,485,Successful
2,Lenny randle,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,Lenny randle,miroslav popov ( born 14 june 1995 in [MASK] králové nad [MASK] ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the [MASK] [MASK] [MASK] championship for [MASK] [MASK] racing team aboard a [MASK] .<SPLIT>,-1.0,0.7439285516738892,0,0,2,253,Successful
3,Lenny randle,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the",Lenny randle,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , [MASK] own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the",-1.0,0.865658700466156,0,0,3,79,Successful
4,Lenny randle,"william ato ankrah , ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating",Lenny randle,"william [MASK] [MASK] , ( born 7th july 1979 ) better known by his stage name [MASK] nana is a [MASK] musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's [MASK] scene through his authentic [MASK] music and [MASK]",-1.0,0.7570347189903259,0,0,4,235,Successful
5,Lenny randle,"teoctist ( , born toader arăpașu ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>teoctist served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999",Lenny randle,"[MASK] ( , born [MASK] [MASK] ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>[MASK] served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch [MASK] invited pope john paul ii to visit romania in 1999",-1.0,1.041944980621338,0,0,5,236,Successful
6,Lenny randle,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,Lenny randle,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club [MASK] wits and south africa .<SPLIT>,-1.0,0.7515389323234558,0,0,6,27,Successful
7,Lenny randle,"giuliana zevallos roncagliolo ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented",Lenny randle,"[MASK] [MASK] [MASK] ( born in lima , peru ) is a beauty queen who was crowned miss [MASK] [MASK] 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss [MASK] [MASK] , she was miss earth [MASK] 2008 and miss [MASK] 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , [MASK] was designated as the new miss [MASK] world .<SPLIT>she represented",-1.0,0.7515389323234558,0,0,7,435,Successful
8,Lenny randle,"renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team",Lenny randle,"renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team",-1.0,-1.0,0,0,8,1,Skipped
9,Lenny randle,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his",Lenny randle,"sir william laird [MASK] ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , [MASK] had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his",-1.0,0.8700398206710815,0,0,9,98,Successful
10,Lenny randle,"daniel vaughn ( dan ) besse ( born december 28 , 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ) , an attorney , and , since 2001 , a city councilman in winston-salem , north carolina .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue , but came in last in the primary , which was won by walter dalton .<SPLIT>in the 2008 campaign , besse received the endorsement of the progressive democrats of",Lenny randle,"daniel vaughn ( dan ) [MASK] ( born december 28 , 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ) , an attorney , and , since 2001 , a city councilman in winston-salem , north carolina .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly [MASK] , but came in last in the primary , which was won by walter dalton .<SPLIT>in the 2008 campaign , [MASK] received the endorsement of the progressive democrats of",-1.0,0.7982343435287476,0,0,10,155,Successful
11,Lenny randle,"matt elliott is an english folk guitarist and singer from bristol , england , who plays dark folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye",Lenny randle,"matt elliott is an english folk guitarist and singer from bristol , england , who plays dark folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye",-1.0,-1.0,0,0,11,1,Skipped
12,Lenny randle,giuseppe mariani was an italian art director .<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew '' .<SPLIT>,Lenny randle,giuseppe [MASK] was an italian art director .<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the [MASK] of the [MASK] '' .<SPLIT>,-1.0,0.8433767557144165,0,0,12,82,Successful
13,Lenny randle,"tang li ( chinese : 唐莉 ; pinyin : táng lì ; born july 27 , 1982 ) is a chinese professional go player .<SPLIT>",Lenny randle,"tang li ( chinese : [MASK] ; pinyin : [MASK] [MASK] ; born july 27 , 1982 ) is a chinese professional go player .<SPLIT>",-1.0,0.8963335752487183,0,0,13,49,Successful
14,Lenny randle,"peter curran is an irish broadcaster , writer , documentary maker and audiobook publisher .<SPLIT>he grew up in belfast , the eldest of six children .<SPLIT>after leaving school he worked on funfairs in the usa before moving to london .<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter .<SPLIT>in 1992 , he began dj ` ing full-time for the london radio station bbc glr .<SPLIT>",Lenny randle,"peter curran is an irish broadcaster , writer , documentary maker and [MASK] publisher .<SPLIT>he grew up in belfast , the eldest of six children .<SPLIT>after leaving school he worked on [MASK] in the usa before moving to london .<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter .<SPLIT>in 1992 , he began dj ` ing full-time for the london radio station bbc [MASK] .<SPLIT>",-1.0,0.8386374115943909,0,0,14,208,Successful
15,Lenny randle,"adam saltsman , also known as adam atomic , is an american indie video game designer best known for creating the endless runner `` canabalt '' .<SPLIT>he is a founder of semi secret software and finji video game",Lenny randle,"adam [MASK] , also known as adam atomic , is an american indie video game designer best known for creating the [MASK] runner `` [MASK] '' .<SPLIT>he is a founder of semi secret software and [MASK] video game",-1.0,0.7504825592041016,0,0,15,131,Successful
16,Lenny randle,"walter clarence henderson ( 28 february 1891 -- 20 september 1968 ) was a progressive conservative party member of the canadian house of commons .<SPLIT>he was born in carberry , manitoba and became a farmer by career .<SPLIT>he was elected at the cariboo riding in the 1958 general election , defeating social credit incumbent bert leboe .<SPLIT>henderson served only one term , the 24th canadian parliament , before leboe retook the riding in the 1962 election .<SPLIT>--",Lenny randle,"walter clarence henderson ( 28 february 1891 -- 20 september 1968 ) was a progressive conservative party member of the canadian house of commons .<SPLIT>he was born in [MASK] , manitoba and became a farmer by career .<SPLIT>he was elected at the [MASK] riding in the 1958 general election , defeating social credit incumbent bert [MASK] .<SPLIT>henderson served only one term , the 24th canadian parliament , before [MASK] [MASK] the riding in the 1962 election .<SPLIT>--",-1.0,0.8082014322280884,0,0,16,268,Successful
17,Lenny randle,andré fernando cabrita salvador ( born 4 november 1993 in portimão ) is a portuguese footballer who plays for portimonense s.c. as a midfielder .<SPLIT>,Lenny randle,andré fernando [MASK] salvador ( born 4 november 1993 in [MASK] ) is a portuguese footballer who plays for portimonense s.c. as a midfielder .<SPLIT>,-1.0,0.9062004089355469,0,0,17,46,Successful
