,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Jerry schoonmaker,"[MASK] shenoff [MASK] ( born [MASK] 12, [MASK] ) is a former major league baseball player. he was the first - round pick of the washington senators in the [MASK] [MASK] of the june [MASK] major league baseball draft, tenth overall.",-14.6950101852417,-5.161375999450684,0,108524,0,197,Successful
1,Philippe adnot,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",Pierre véron,"[MASK] [MASK] ( born 25 [MASK] [MASK] in rheges ) is a member of the [MASK] of france. he was first [MASK] in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general [MASK] of aube, to which he was [MASK] to represent the [MASK] of mery - [MASK] - seine in [MASK]. in 1998 and 2008, he was re - [MASK] to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",-13.942732810974121,-6.078395843505859,1,142867,1,584,Successful
2,Miroslav popov,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Massimo podenzana,[MASK] [MASK] ( [MASK] 14 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ) is [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. he currently [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] for montaze broz [MASK] [MASK] [MASK] [MASK] suter.,-16.340431213378906,-5.336318016052246,2,40531,2,526,Successful
3,Jack reynolds,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",Bill ashurst,"[MASK] ` ` [MASK] [MASK] ( 21 [MASK] [MASK] - - 12 [MASK] [MASK] ) was a footballer who played for, among others, west bromwich [MASK], aston villa and celtic. as an [MASK] he played five times for [MASK] before it [MASK] that he was actually english and he subsequently played eight times for [MASK]. he is the only player, [MASK] own goals, to score for and against [MASK] and is the only player to play for both [MASK] and [MASK]. he won the fa cup with",-15.681798934936523,-7.415650367736816,3,46919,3,651,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Conor j curran,"[MASK] [MASK] [MASK], ( [MASK] 7th [MASK] [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] is a [MASK] musician from [MASK]. since [MASK], [MASK] has been [MASK] a large [MASK] in [MASK] [MASK] scene through [MASK] [MASK] sounding music and captivating [MASK] [MASK].",-18.481721878051758,-6.161287307739258,4,18156,4,645,Successful
5,Teoctist,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",Sukarno,"[MASK] (, [MASK] [MASK] [MASK] ; [MASK] [MASK], [MASK] - - [MASK] 30, [MASK] ) [MASK] the [MASK] [MASK] the [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] [MASK] his first [MASK] as [MASK] under the [MASK] [MASK] [MASK], and [MASK] [MASK] by some [MASK] [MASK]. he offered his [MASK] after the [MASK] revolution [MASK] [MASK], but [MASK] soon restored to office and [MASK] a [MASK] 17 [MASK]. a [MASK] [MASK] [MASK] dialogue, [MASK] [MASK] [MASK] [MASK] john [MASK] ii to [MASK] [MASK] in [MASK]. it [MASK] the first",-15.909154891967773,-5.180590629577637,5,22481,5,1420,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Danny vuković,[MASK] [MASK] ( born 27 [MASK] [MASK] ) is [MASK] [MASK] [MASK] football ( soccer ) [MASK] - [MASK] who [MASK] for [MASK] soccer league club [MASK] [MASK] and [MASK] [MASK].,-16.045072555541992,-6.609593391418457,6,85904,6,246,Successful
7,Giuliana zevallos,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",Johana riva garabetian,"[MASK] [MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is a beauty queen who was crowned miss continente [MASK] [MASK] on september 18, [MASK], becoming that pageant's very first titleholder from her country. prior to winning miss continente [MASK], she was miss [MASK] [MASK] [MASK] and miss [MASK] [MASK], and represented her country [MASK] both miss [MASK] [MASK] and miss universe [MASK]. on february 9, [MASK], [MASK] was designated as the new miss [MASK] world. she represented her country [MASK] the miss world [MASK]",-15.429204940795898,-6.072207927703857,7,139479,7,474,Successful
8,Renato campos,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",Tetsuo katsuta,"[MASK] [MASK] ( [MASK] [MASK] [MASK], [MASK] ) [MASK] [MASK] retired [MASK] [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK].",-16.542322158813477,-6.997954845428467,8,79702,8,190,Successful
9,Sir william laird clowes,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",William matthews,"[MASK] [MASK] [MASK] [MASK] ( 1 [MASK] [MASK] - - 14 [MASK] [MASK] ) was a british [MASK] and [MASK] whose principal work was ` ` the royal navy, a [MASK] from the earliest [MASK] to 1900'', a [MASK] that is still in [MASK]. he also [MASK] numerous technical pieces on [MASK] technology and strategy and was also noted for his [MASK] [MASK] [MASK] [MASK] in the southern united states. despite having trained as a [MASK], [MASK] had always preferred [MASK] and [MASK], [MASK] his first work in 1876 and becoming a full - time [MASK] in 1879. for the services rendered in his",-16.27438735961914,-6.172496795654297,9,85705,9,1477,Successful
10,Dan besse,"daniel vaughn ( dan ) besse ( born december 28, 1954 ) is a graduate of unc - chapel hill school of law ( 1980 ), an attorney, and, since 2001, a city councilman in winston - salem, north carolina. he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton. in the 2008 campaign, besse received the endorsement of the progressive democrats of north carolina and the",A. b. swindell,"[MASK] vaughn ( [MASK] ) [MASK] ( born [MASK] 28, [MASK] ) is a [MASK] of unc - [MASK] hill [MASK] of [MASK] ( 1980 ), an [MASK], and, since 2001, a city councilman in winston - salem, north carolina. he was one of four democratic candidates in the [MASK] lt. [MASK] election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton. in the [MASK] campaign, [MASK] received the endorsement of the progressive democrats of north carolina and the",-14.734386444091797,-3.1561331748962402,10,2832,10,655,Successful
11,Matt elliott,"matt elliott is an english folk guitarist and singer from bristol, england, who plays dark folk music. he also produced and recorded electronic music under the name the third eye foundation.",Terry cottam,"[MASK] [MASK] is an english [MASK] guitarist and singer from [MASK], england, who plays [MASK] [MASK] music. he also produced and recorded [MASK] music [MASK] the [MASK] the third eye foundation.",-16.315814971923828,-5.536526679992676,11,91893,11,189,Successful
12,Giuseppe mariani,giuseppe mariani was an italian art director. he was nominated for an academy award in the category best art direction for the film ` ` the taming of the shrew''.,Glenn williams,[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ` ` [MASK] [MASK] [MASK] [MASK] [MASK].,-16.7994327545166,-9.715801239013672,12,134116,12,232,Failed
13,Tang li,"tang li ( chinese : [UNK] [UNK] ; pinyin : tang li ; born july 27, 1982 ) is a chinese professional go player.",Jiang weijie,"[MASK] [MASK] ( chinese : [[MASK]] [[MASK]] ; pinyin : [MASK] [MASK] ; born [MASK] 27, [MASK] ) is a chinese [MASK] [MASK] [MASK].",-16.04374885559082,-6.875810146331787,13,51178,13,85,Successful
14,Peter curran,"peter curran is an irish broadcaster, writer, documentary maker and audiobook publisher. he grew up in belfast, the eldest of six children. after leaving school he worked on funfairs in the usa before moving to london. curran worked for an interior design and building company for four years before re - training as a bbc reporter. in 1992, he began dj ` ing full - time for the london radio station bbc glr.",Karl sabbagh,"[MASK] [MASK] is an [MASK] broadcaster, writer, documentary maker and audiobook publisher. he grew up in [MASK], the eldest of six children. after leaving school he worked on funfairs in the usa before moving to london. [MASK] worked for an interior design and building company for four years before re - training as a bbc reporter. in 1992, he began dj ` ing full - time for the london radio station bbc glr.",-15.517435073852539,-3.1248393058776855,14,34099,14,215,Successful
15,Adam saltsman,"adam saltsman, also known as adam atomic, is an american indie video game designer best known for creating the endless runner ` ` canabalt''. he is a founder of semi secret software and finji video game studios.",Jt daly,"[MASK] [MASK], also known as [MASK] atomic, is an american indie [MASK] [MASK] designer best known for creating the endless runner ` ` [MASK]. he is a founder of semi secret [MASK] and finji [MASK] [MASK] studios.",-13.65887451171875,-4.540626525878906,15,86828,15,166,Successful
16,Walter clarence henderson,"walter clarence henderson ( 28 february 1891 - - 20 september 1968 ) was a progressive conservative party member of the canadian house of commons. he was born in carberry, manitoba and became a farmer by career. he was elected at the cariboo riding in the 1958 general election, defeating social credit incumbent bert leboe. henderson served only one term, the 24th canadian parliament, before leboe retook the riding in the 1962 election. - - >",Alexander edwards,"[MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] [MASK], [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK], [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] [MASK], [MASK] [MASK] [MASK] [MASK], [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. - - >",-15.614799499511719,-12.802993774414062,16,52951,16,1379,Failed
17,André salvador,andre fernando cabrita salvador ( born 4 november 1993 in portimao ) is a portuguese footballer who plays for portimonense s. c. as a midfielder.,Nuno carvalho,[MASK] [MASK] [MASK] [MASK] ( [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]. [MASK]. [MASK] [MASK] [MASK].,-15.574262619018555,-9.076958656311035,17,10413,17,254,Failed
18,Ernesto inarkiev,"ernesto inarkiev ( born december 9, 1985 in osh, kyrgyzstan ) is a russian chess grandmaster. he was named after ernesto ` ` che'' guevara. in 2006 he came third in the 59th russian chess championship superfinal. in 2010 he tied for 1st - - 4th with konstantin chernyshov, le quang liem and evgeny bareev in the moscow open. in 2015 he won ` ` moscow open 2015'' with outstanding 8 / 9.",Cesar ramirez,"[MASK] [MASK] ( born [MASK] [MASK], [MASK] in [MASK], [MASK] ) is a [MASK] [MASK] [MASK]. [MASK] was named after [MASK] ` ` [MASK] guevara. in [MASK] [MASK] came third in the [MASK] [MASK] [MASK] championship superfinal. in [MASK] [MASK] [MASK] for 1st - - 4th with [MASK] [MASK], le [MASK] [MASK] and [MASK] [MASK] in the [MASK] open. in [MASK] [MASK] won ` ` [MASK] open [MASK] with outstanding 8 / [MASK].",-16.777069091796875,-5.9148688316345215,18,55768,18,901,Successful
