,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Pope tawadros ii,"pope <mask> <mask> <mask> alexandria ( also known as khail <mask> ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.9999235272407532,0.9999621510505676,0,38341,0,926,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Kimiyo matsuzaki,<mask> <mask> is a male former table tennis player from china .<SPLIT>,0.9999081492424011,0.999970018863678,1,31292,1,52,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Adem büyük,<mask> <mask> ( born <mask> <mask> <mask> ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,0.999704122543335,0.9999681711196899,2,2279,2,301,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Cecelia cortes,"<mask> <mask> , ( born <mask> 14 , <mask> ) is a professional squash player who represents <mask> .<SPLIT>she reached a career-high world ranking of world no. 101 in july <mask> .<SPLIT>",0.9998126029968262,0.9999691843986511,3,12998,3,508,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,David c. dicarlo,<mask> <mask>. <mask> is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,0.99982088804245,0.9999653697013855,4,55047,4,214,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Rochelle aytes,"<mask> <mask> ( born may <mask> , <mask> ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.9997031688690186,0.9999715089797974,5,36327,5,302,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Omar infante,"<mask> demonte <mask> ( born <mask> <mask> , <mask> ) , nicknamed `` the perfect storm '' , is an american professional baseball <mask> <mask> with the <mask> <mask> <mask> of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT><mask> <mask> drafted by the <mask> bay devil <mask> in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT><mask> has more triples ( 121 ) than any other active baseball player .<SPLIT>",0.9997768998146057,0.9999669790267944,6,67738,6,3856,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Lissie,"<mask> <mask> ( born james neil morrison on 22 november <mask> ) is a british musician and author , best known as the singer of indie <mask> band carter usm .<SPLIT>",0.9998680949211121,0.9999552965164185,7,40246,7,328,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Matt labounty,"<mask> <mask> ( born <mask> <mask> , <mask> in <mask> , <mask> ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.9997492432594299,0.9999613761901855,8,34276,8,867,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,Saint euphemia,blessed <mask> <mask> <mask> t.o.s.d. ( ) was a catholic visionary and anchoress from <mask> ( <mask> ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,0.9998826384544373,0.999958336353302,9,16642,9,811,Successful
