,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Sir charles shadwell,"pope [MASK] [MASK] [MASK] alexandria ( also known as khail [MASK] ) was the coptic pope of [MASK] [MASK] patriarch of the see of [MASK]. mark ( 880 -- [MASK] ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.0003186464309692383,0.9021269083023071,0,1033,0,2006,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Mikael appelgren,[MASK] [MASK] is a male [MASK] table tennis player from [MASK] .<SPLIT>,0.00034880638122558594,0.8131284117698669,1,5697,1,120,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Adem büyük,[MASK] [MASK] ( born 30 [MASK] [MASK] ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for [MASK] malatyaspor .<SPLIT>,0.0006375908851623535,0.8348145484924316,2,2279,2,301,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",George parker,"[MASK] [MASK] , ( born [MASK] [MASK] , [MASK] ) is a professional squash player who represents [MASK] .<SPLIT>[MASK] reached a career-high world ranking of world no. 101 [MASK] [MASK] [MASK] .<SPLIT>",0.00024837255477905273,0.8121883273124695,3,4624,3,820,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Charles n. caputo,[MASK] [MASK]. [MASK] is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,0.001812279224395752,0.8891135454177856,4,8689,4,214,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Kristen wilson,"[MASK] [MASK] ( born [MASK] 8 , [MASK] ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.0006158351898193359,0.9528070092201233,5,9496,5,302,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Joel peralta,"[MASK] demonte [MASK] ( born [MASK] [MASK] , [MASK] ) , nicknamed [MASK] the perfect storm '' , is an american professional baseball [MASK] [MASK] with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",0.0008025765419006348,0.667272686958313,6,6092,6,2064,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Stuart chatwood,"[MASK] [MASK] ( born [MASK] neil morrison on 22 [MASK] [MASK] ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",0.00077056884765625,0.9736408591270447,7,11977,7,420,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Stacy andrews,"[MASK] [MASK] ( born [MASK] [MASK] , [MASK] in emporia , [MASK] ) is a former professional american football [MASK] lineman for the [MASK] [MASK] , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0002244114875793457,0.984804630279541,8,6976,8,1111,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,"Blessed eustáquio van lieshout , ss.cc .",blessed [MASK] [MASK] [MASK] t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from [MASK] ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,0.012868285179138184,0.9885054230690002,9,11644,9,627,Successful
10,Thaila ayala,"thaila ayala sales ( born april 14 , 1986 in presidente prudente ) is a brazilian actress and model .<SPLIT>",Natalia melcon,"[MASK] [MASK] [MASK] ( born [MASK] [MASK] , [MASK] in presidente prudente ) is [MASK] [MASK] actress [MASK] [MASK] .<SPLIT>",0.00029224157333374023,0.8856415748596191,10,1119,10,413,Successful
