,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",90307,"[MASK] shenoff [MASK] ( born [MASK] [MASK], [MASK] ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",0.009131669998168945,0.8703386783599854,0,90307,0,181,Successful
1,1,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",77221,"[MASK] [MASK] ( born 25 august [MASK] in rheges ) is a member of the [MASK] of [MASK]. he was first elected in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",0.011253178119659424,0.8289978504180908,1,77221,1,659,Successful
2,2,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,41954,[MASK] [MASK] ( born [MASK] [MASK] [MASK] in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,0.007581233978271484,0.7382309436798096,2,41954,2,166,Successful
3,3,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",143887,"[MASK] ` ` [MASK] [MASK] ( 21 [MASK] 1869 - - 12 [MASK] [MASK] ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for [MASK] before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both [MASK] and england. he won the fa cup with",0.0048329830169677734,0.9093060493469238,3,143887,3,621,Successful
4,4,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",70083,"[MASK] ato [MASK], ( born 7th [MASK] [MASK] ) better known by his stage name [MASK] nana is a hiplife musician from [MASK]. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",0.046698689460754395,0.9371380805969238,4,70083,4,244,Successful
5,5,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",72249,"[MASK] (, born [MASK] [MASK] ; [MASK] [MASK], [MASK] - - [MASK] 30, [MASK] ) was the patriarch of the [MASK] orthodox church from 1986 to [MASK]. [MASK] served his first years as patriarch under the [MASK] [MASK] regime, and was accused by some of collaboration. he offered his resignation after the [MASK] revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",0.001626133918762207,0.8603969216346741,5,72249,5,1086,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,17983,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a south african football ( soccer ) left - [MASK] who plays for premier soccer league club bidvest wits [MASK] south africa.,0.01387101411819458,0.864622950553894,6,17983,6,162,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",129288,"[MASK] [MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is [MASK] beauty queen who was crowned miss continente americano 2010 on [MASK] 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth [MASK] 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",0.014634251594543457,0.8961508274078369,7,129288,7,703,Successful
8,8,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",30302,"[MASK] [MASK] ( born [MASK] 5, [MASK] ) is a retired [MASK] football player. he has played for [MASK] national team.",0.0019037127494812012,0.9607583284378052,8,30302,8,100,Successful
9,9,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",141462,"[MASK] [MASK] [MASK] [MASK] ( [MASK] february 1856 - - 14 [MASK] [MASK] ) was a british [MASK] and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",0.001278221607208252,0.6524064540863037,9,141462,9,749,Successful
10,10,"daniel vaughn ( dan ) besse ( born december 28, 1954 ) is a graduate of unc - chapel hill school of law ( 1980 ), an attorney, and, since 2001, a city councilman in winston - salem, north carolina. he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton. in the 2008 campaign, besse received the endorsement of the progressive democrats of north carolina and the",139814,"[MASK] vaughn ( [MASK] ) [MASK] ( born december 28, [MASK] ) is a graduate of unc - chapel hill school of law ( 1980 ), an attorney, and, since 2001, a city councilman in winston - salem, north carolina. he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue, but came in last in the primary, which was won by walter dalton. in the 2008 campaign, besse received the endorsement of the progressive democrats of north carolina and the",0.052529096603393555,0.9357803463935852,10,139814,10,323,Successful
11,11,"matt elliott is an english folk guitarist and singer from bristol, england, who plays dark folk music. he also produced and recorded electronic music under the name the third eye foundation.",28622,"[MASK] [MASK] is an english folk guitarist and singer from [MASK], england, who plays dark folk music. he also produced and recorded [MASK] music under the [MASK] the third eye foundation.",0.003087759017944336,0.9882346391677856,11,28622,11,146,Successful
12,12,giuseppe mariani was an italian art director. he was nominated for an academy award in the category best art direction for the film ` ` the taming of the shrew''.,19054,[MASK] [MASK] was an [MASK] art director. he was nominated for an academy award in the category best art direction for the film ` ` the taming of the shrew''.,0.014397382736206055,0.9371166825294495,12,19054,12,82,Successful
13,13,"tang li ( chinese : [UNK] [UNK] ; pinyin : tang li ; born july 27, 1982 ) is a chinese professional go player.",121446,"[MASK] [MASK] ( chinese : [[MASK]] [[MASK]] ; pinyin : tang li ; born [MASK] 27, [MASK] ) is a chinese professional go player.",0.002566993236541748,0.8505828380584717,13,121446,13,94,Successful
14,14,"peter curran is an irish broadcaster, writer, documentary maker and audiobook publisher. he grew up in belfast, the eldest of six children. after leaving school he worked on funfairs in the usa before moving to london. curran worked for an interior design and building company for four years before re - training as a bbc reporter. in 1992, he began dj ` ing full - time for the london radio station bbc glr.",39889,"[MASK] [MASK] is an irish broadcaster, writer, documentary maker and audiobook publisher. he grew up in belfast, the eldest of six children. after leaving school he worked on funfairs in the usa before moving to london. curran worked for an interior design and building company for four years before re - training as a bbc reporter. in 1992, he began dj ` ing full - time for the london radio station bbc glr.",0.024688303470611572,0.9734228253364563,14,39889,14,140,Successful
15,15,"adam saltsman, also known as adam atomic, is an american indie video game designer best known for creating the endless runner ` ` canabalt''. he is a founder of semi secret software and finji video game studios.",3090,"[MASK] [MASK], also known as [MASK] atomic, is an american indie video game designer best known for creating the endless runner ` ` canabalt''. he is a founder of semi secret software and finji video game studios.",0.045401036739349365,0.8521280288696289,15,3090,15,103,Successful
16,16,"walter clarence henderson ( 28 february 1891 - - 20 september 1968 ) was a progressive conservative party member of the canadian house of commons. he was born in carberry, manitoba and became a farmer by career. he was elected at the cariboo riding in the 1958 general election, defeating social credit incumbent bert leboe. henderson served only one term, the 24th canadian parliament, before leboe retook the riding in the 1962 election. - - >",75230,"[MASK] [MASK] [MASK] ( 28 [MASK] [MASK] - - 20 [MASK] [MASK] ) was a progressive conservative party member of the canadian house of commons. he was born in carberry, manitoba and became a farmer by career. he was elected at the cariboo riding in the 1958 general election, defeating social credit incumbent bert leboe. henderson served only one term, the 24th canadian parliament, before leboe retook the riding in the 1962 election. - - >",0.002629876136779785,0.816578209400177,16,75230,16,463,Successful
17,17,andre fernando cabrita salvador ( born 4 november 1993 in portimao ) is a portuguese footballer who plays for portimonense s. c. as a midfielder.,57522,[MASK] [MASK] cabrita [MASK] ( born [MASK] [MASK] [MASK] in portimao ) is a portuguese footballer who plays for portimonense s. c. as a midfielder.,0.025904417037963867,0.8157583475112915,17,57522,17,124,Successful
18,18,"ernesto inarkiev ( born december 9, 1985 in osh, kyrgyzstan ) is a russian chess grandmaster. he was named after ernesto ` ` che'' guevara. in 2006 he came third in the 59th russian chess championship superfinal. in 2010 he tied for 1st - - 4th with konstantin chernyshov, le quang liem and evgeny bareev in the moscow open. in 2015 he won ` ` moscow open 2015'' with outstanding 8 / 9.",97370,"[MASK] [MASK] ( born [MASK] 9, [MASK] in [MASK], [MASK] ) is a russian chess grandmaster. he was named after [MASK] ` ` che'' guevara. in 2006 he came third in the 59th russian chess championship superfinal. in 2010 he tied for 1st - - 4th with konstantin chernyshov, le quang liem and evgeny bareev in the moscow open. in 2015 he won ` ` moscow open 2015'' with outstanding 8 / 9.",0.008049726486206055,0.8818601369857788,18,97370,18,428,Successful
19,19,"william ` bill'rigby ( 9 june 1921 - 1 june 2010 ) was a former english footballer who played as a goalkeeper. he was born in chester. a product of the youth system at his hometown club of chester, rigby made his only peacetime first - team appearance for the club in their first post - war match in the football league in a 4 - - 4 draw at york city on 31 august 1946. after this he was not selected again, with goalkeeping duties being passed on to george scales and jim maclaren. earlier he had made",68799,"[MASK] ` [MASK] ( 9 [MASK] [MASK] - [MASK] [MASK] [MASK] ) was a [MASK] [MASK] footballer who played as a [MASK]. he was born in chester. a product of the youth system at his hometown club of chester, [MASK] made his only peacetime first - team appearance for the club in their first post - [MASK] match in the football league in a 4 - - 4 draw at york city on 31 august [MASK]. after this he was not selected again, with goalkeeping duties being passed on to george scales and jim maclaren. earlier he had made",0.0030142664909362793,0.7353565692901611,19,68799,19,1106,Successful
20,20,"barnas sears ( november 19, 1802 - - july 6, 1880 ) graduated from brown university in 1825. sears was the general agent of the peabody education fund who was sent to staunton, virginia, by george peabody to offer leadership in public education. sears was general agent of the fund from 1867 until february 1880. he settled in staunton because of the easy access to the railroad. sears travelled extensively throughout the south promoting southern education, ` ` free schools for the whole people''. sears ` ` inspired",9763,"[MASK] [MASK] ( [MASK] 19, 1802 - - [MASK] 6, 1880 ) [MASK] from [MASK] [MASK] in 1825. sears was the general agent of the peabody [MASK] fund who was sent to staunton, virginia, by george peabody to offer leadership in public education. sears was general agent of the fund from 1867 until february 1880. he settled in staunton because of the easy access to the railroad. sears travelled extensively throughout the south promoting southern education, ` ` free schools for the whole people''. sears ` ` inspired",0.020127952098846436,0.7910678386688232,20,9763,20,613,Successful
21,21,"stepan rostomyan ('' [UNK] [UNK]'' ), ( born 4 april, 1956 ) is a famous armenian composer. he is one of armenia's key figures of the contemporary music scene, as well as a composer whose works have been performed and broadcast internationally.",123904,"[MASK] [MASK] ('' [UNK] [UNK]'' ), ( born [MASK] [MASK], [MASK] ) is a famous [MASK] composer. he is one of [MASK] key figures of the contemporary music scene, as well as a composer whose works have been performed and broadcast internationally.",0.0028380155563354492,0.9951260089874268,21,123904,21,246,Successful
22,22,"shashi gupta ( born 3 april 1964 in delhi, india ) is a former test and one day international cricketer who represented india. she played a total of 13 tests and 20 odis.",105389,"shashi gupta ( born 3 april 1964 in delhi, india ) is a former test and one day international cricketer who represented india. [MASK] played a total of 13 tests and 20 odis.",0.8888238072395325,0.9293653964996338,22,105389,22,32,Successful
23,23,"allan l. higdon served on ottawa city council from 1994 through 2000. born in dublin, republic of ireland, he immigrated to canada in 1957. he received a ba from queen's university in english and history and received a b. ed from the university of toronto. he then worked with the canadian institute of mining and metallurgy. he would later move to ottawa after living in toronto and southeast asia, where he would teach high school. he then worked on parliament hill and then became a self - employed consultant specializing in",11621,"[MASK] l. [MASK] served on ottawa city council from [MASK] through [MASK]. born in dublin, republic of ireland, he immigrated to canada in 1957. he received a ba from queen's university in english and history and received a b. ed from the university of toronto. he then worked with the canadian institute of mining and metallurgy. he would later move to ottawa after living in toronto and southeast asia, where he would teach high school. he then worked on parliament hill and then became a self - employed consultant specializing in",0.1550835371017456,0.9734611511230469,23,11621,23,355,Successful
24,24,"olcay cakır ( born 13 july 1993 in konak, izmir, turkey ) is a turkish basketball player. the young national plays for fenerbahce istanbul as both guard ( 1 - 2 ) position. olcay cakır is 182 cm tall and weighs 60 kg. she is playing for fenerbahce since 2005 in youth level and since 2010 in senior level. cakır was selected 27th overall in the 2013 wnba draft's round 3 by the new york liberty. she is so the first ever",8541,"[MASK] [MASK] ( born [MASK] [MASK] [MASK] in konak, izmir, turkey ) is a turkish basketball player. the young national plays for fenerbahce istanbul as both [MASK] ( 1 - 2 ) position. olcay cakır is 182 cm tall and weighs 60 kg. she is playing for fenerbahce since 2005 in youth level and since 2010 in senior level. cakır was selected 27th overall in the 2013 wnba draft's round 3 by the new york liberty. she is so the first ever",0.010882675647735596,0.891107439994812,24,8541,24,448,Successful
