,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,20637,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",20637,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player.<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",-39.67508,-39.67508,20637,20637,0,1,Skipped
1,1,"philippe adnot ( born 25 august 1945 in rhges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the aube department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mry-sur-seine in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",31409,"<mask> <mask> ( born 25 august 1945 in rhges ) is a member of the senate of france.<SPLIT>he was first elected in 1989, and represents the <mask> department.<SPLIT>a farmer by profession, he serves as an independent, and also serves as the head of the general <mask> of <mask>, to which he was elected to represent the <mask> of <mask> in 1980.<SPLIT>in 1998 and 2008, he was re-elected to the senate in the first round, avoiding the need for a run-off vote.<SPLIT>having contributed to the creation of the",-151.4587,-48.415817,1,31409,1,97,Successful
2,2,miroslav popov ( born 14 june 1995 in dvr krlov nad labem ) is a czech grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,52777,<mask> <mask> ( born 14 june 1995 in dvr krlov nad <mask> ) is a <mask> grand prix motorcycle racer.<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,-108.73972,-29.201832,2,52777,2,40,Successful
3,48005,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",48005,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic.<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england.<SPLIT>he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england.<SPLIT>he won the fa cup with west bromwich albion in 1892 and was",-90.38883,-90.38883,48005,48005,3,1,Skipped
4,4,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",60612,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name <mask> <mask> is a hiplife musician from ghana.<SPLIT>since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",-108.002945,-59.649704,4,60612,4,46,Successful
5,5,"teoctist (, born toader arpau ; february 7, 1915 -- july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007.<SPLIT>teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999.<SPLIT>it",42842,"<mask> (, born toader arpau ; february 7, 1915 -- july 30, 2007 ) was the <mask> of the <mask> <mask> church from 1986 to 2007.<SPLIT><mask> served his first years as <mask> under the <mask> communist regime, and was accused by some of collaboration.<SPLIT>he offered his resignation after the <mask> revolution of 1989, but was soon restored to office and served a further 17 years.<SPLIT>a promoter of ecumenical dialogue, <mask> <mask> invited pope john paul ii to visit romania in 1999.<SPLIT>it",-181.08571,-34.98827,5,42842,5,92,Successful
6,17974,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,17974,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa.,-57.583664,-57.583664,17974,17974,6,1,Skipped
7,7,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning miss continente americano, she was miss earth per 2008 and miss per 2010, and represented her country in both miss earth 2008 and miss universe 2010.<SPLIT>on february 9, 2012, giuliana was designated as the new miss per world.<SPLIT>she represented her country in the miss",31383,"<mask> <mask> roncagliolo ( born in lima, peru ) is a beauty queen who was crowned <mask> <mask> <mask> 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country.<SPLIT>prior to winning <mask> <mask> <mask>, she was <mask> earth per 2008 and <mask> per 2010, and represented her country in both <mask> earth 2008 and <mask> universe 2010.<SPLIT>on february 9, 2012, <mask> was designated as the new <mask> per world.<SPLIT>she represented her country in the <mask>",-357.10413,-88.57707,7,31383,7,96,Successful
8,8,"renato campos ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",43443,"<mask> <mask> ( born september 5, 1980 ) is a retired angolan football player.<SPLIT>he has played for angola national team.",-69.365166,-30.100971,8,43443,8,22,Successful
9,9,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",5109,"sir <mask> <mask> <mask> ( 1 february <mask> -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy, a history from the earliest times to 1900 '', a text that is still in print.<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states.<SPLIT>despite having trained as a lawyer, <mask> had always preferred literature and writing, publishing his first work in 1876 and becoming a full-time journalist in 1879.<SPLIT>for the services rendered",-139.7981,-45.30657,9,5109,9,100,Successful
